,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,3215,6236,7978,9715,17496,23264,26165,34261,48922,45167
- Cash & Cash Equivalents,1038,1610,1760,3930,4072,5342,12123,10800,13118,12074
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,9,147,167,159,26,106,141,189,227,180
+ Total Debt,669,893,1221,4655,4699,6686,13726,16779,18838,18020
Enterprise Value,2753,5489,7430,10094,17618,23992,27046,38849,53330,48972
Total Capital,1410,2043,2746,6734,7473,10455,18851,23761,27205,27542
Total Debt/Capital (%),47.43,43.71,44.46,69.13,62.88,63.95,72.81,70.62,69.24,65.43
Total Debt / EV,0.24,0.16,0.16,0.46,0.27,0.28,0.51,0.43,0.35,0.37
EV/Sales,0.25,0.33,0.33,0.25,0.36,0.40,0.36,0.35,0.42,0.34
EV/EBITDA,7.98,9.93,9.10,6.56,11.29,12.28,10.04,8.80,11.25,9.44
EV/EBIT,9.92,11.83,10.54,8.01,14.69,16.46,13.18,12.32,16.34,13.47
EV/Cash Flow to Firm,6.90,4.42,10.92,5.16,10.55,16.45,15.15,6.50,11.36,7.34
EV/Free Cash Flow to Firm,5.90,4.08,8.95,4.46,8.42,11.25,10.75,5.68,9.51,6.38
Diluted Market Cap,3269,6338,8158,9266,17810,22476,26503,34123,49597,47733
Diluted Enterprise Value,2909,5768,7786,10150,18463,23926,28247,40291,55544,53859
EV per Share,12.44,23.17,30.87,29.36,50.79,58.16,65.16,66.81,91.56,88.92
TTM Sales,10863,16560,22760,40607,48382,60116,74639,111115,125982,144547
TTM EBITDA,345,553,816,1538,1560,1953,2695,4413,4739,5189
TTM Operating Income,277,464,705,1260,1199,1458,2052,3154,3263,3636
TTM Cash Flow to Firm,399,1243,680,1956,1671,1458,1786,5974,4695,6668
TTM Free Cash Flow to Firm,467,1346,830,2262,2093,2133,2516,6843,5605,7672
