,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,669,893,1221,4655,4699,6686,13726,16779,18838,18020
ST Debt,3,5,5,4,4,38,88,97,267,82
LT Debt,666,888,1216,4651,4695,6648,13638,16682,18571,17938
Total Debt/EBITDA,1.94,1.61,1.50,3.03,3.01,3.42,5.09,3.80,3.98,3.47
Net Debt/EBITDA,-1.07,-1.30,-0.66,0.47,0.40,0.69,0.59,1.35,1.21,1.15
Total Debt/EBIT,2.41,1.92,1.73,3.69,3.92,4.59,6.69,5.32,5.77,4.96
Net Debt/EBIT,-1.33,-1.55,-0.76,0.58,0.52,0.92,0.78,1.90,1.75,1.64
EBITDA to Interest Expense,12.79,15.80,18.98,7.09,6.12,5.69,6.54,6.06,7.13,7.80
EBITDA-CapEx/Interest Expense,10.27,12.86,15.49,5.68,4.46,3.73,4.77,4.87,5.76,6.29
EBIT to Interest Expense,10.29,13.26,16.40,5.81,4.70,4.25,4.98,4.33,4.91,5.47
Interest Expense,27,35,43,217,255,343,412,728,665,665
Common Equity/Total Assets,20.74,17.18,18.50,9.51,12.57,11.85,12.16,9.89,10.39,12.15
Long-Term Debt/Equity (%),53.54,46.96,52.32,76.83,68.28,60.31,107.45,64.26,68.73,74.01
Long-Term Debt/Capital (%),47.21,43.47,44.28,69.07,62.83,63.59,72.35,70.21,68.26,65.13
Long-Term Debt/Total Assets (%),18.86,15.21,16.57,23.03,21.48,21.51,33.27,24.28,23.70,23.34
Total Debt/Equity (%),53.78,47.22,52.54,76.89,68.34,60.65,108.15,64.63,69.71,74.35
Total Debt/Capital (%),47.43,43.71,44.46,69.13,62.88,63.95,72.81,70.62,69.24,65.43
Total Debt/Total Assets (%),18.95,15.30,16.64,23.05,21.50,21.64,33.48,24.42,24.04,23.44
Net Debt to Equity,-29.70,-37.92,-23.19,11.98,9.12,12.19,12.63,23.03,21.17,24.53
Net Debt/Capital (%),-99.26,-165.59,-54.67,25.86,18.44,26.29,23.83,46.13,40.60,38.44
EBITDA,345,553,816,1538,1560,1953,2695,4413,4739,5189
EBITDA-CapEx,277,450,666,1232,1138,1278,1965,3544,3829,4185
Operating Income (Loss),277,464,705,1260,1199,1458,2052,3154,3263,3636
