,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,0,2795,2778,2040,1672,1611,3900,3441,2753
ST Debt,0,25,24,21,8,8,40,39,37
LT Debt,0,2769,2754,2019,1664,1604,3859,3402,2716
Total Debt/EBITDA,0,7.26,8.44,7.18,2.68,3.55,6.43,3.48,2.20
Net Debt/EBITDA,0,6.67,7.66,5.80,2.33,2.44,3.54,1.35,0.91
Total Debt/EBIT,0,12.60,17.74,18.50,3.77,5.85,36.93,6.08,3.37
Net Debt/EBIT,0,11.57,16.10,14.93,3.28,4.02,20.35,2.35,1.39
EBITDA to Interest Expense,2.99,2.36,1.93,2.02,6.26,5.10,5.46,11.26,12.11
EBITDA-CapEx/Interest Expense,2.54,1.93,1.50,1.62,5.73,4.67,5.08,10.53,11.20
EBIT to Interest Expense,2.01,1.36,0.92,0.78,4.45,3.10,0.95,6.45,7.92
Interest Expense,164,163,170,141,100,89,111,88,103
Common Equity/Total Assets,0,-12.51,-13.78,-12.46,-6.84,-3.01,-1.07,2.53,6.47
Long-Term Debt/Equity (%),0,682.91,1013.33,136.73,99.30,85.77,41.99,37.50,29.34
Long-Term Debt/Capital (%),0,122.98,125.78,137.89,121.88,108.95,101.61,87.38,72.06
Long-Term Debt/Total Assets (%),0,62.07,63.81,43.70,37.09,34.65,24.03,22.45,18.39
Total Debt/Equity (%),0,689.18,1022.33,138.15,99.77,86.18,42.43,37.93,29.73
Total Debt/Capital (%),0,124.10,126.90,139.32,122.46,109.46,102.68,88.37,73.03
Total Debt/Total Assets (%),0,62.64,64.37,44.15,37.26,34.82,24.28,22.70,18.64
Net Debt to Equity,0,632.87,928.20,111.52,86.57,59.14,23.38,14.67,12.31
Net Debt/Capital (%),0,126.82,130.46,153.76,126.80,114.41,104.97,74.62,52.85
EBITDA,491,385,329,284,623,453,607,988,1250
EBITDA-CapEx,418,314,255,227,571,416,565,924,1156
Operating Income (Loss),331,222,157,110,443,275,106,566,817
