,2014,2015,2016,2017,2018,2019,2020,2021,2022
Return on Common Equity (%),0,0,0,0,0,0,0,0,90.38
Return on Assets (%),0,-15.74,-0.83,0.41,5.92,3.49,-0.32,3.60,4.04
Return on Capital (%),0,0,0,0,24.47,16.44,0,0,17.84
Return on Invested Capital (%),0,0,0,0,9.92,6.71,0,0,5.32
Gross Margin (%),36.45,36.63,36.96,37.80,37.64,37.18,32.86,38.59,39.31
EBITDA Margin (%),19.12,18.09,16.98,11.96,23.18,18.49,12.35,19.17,21.13
Operating Margin (%),12.88,10.43,8.08,4.64,16.47,11.23,2.15,10.98,13.81
Incremental Operating Margin (%),0,24.68,34.77,-10.63,105.82,70.49,-6.90,189.97,32.94
Pretax Margin (%),-4.39,-17.24,-3.26,-4.74,12.99,7.79,-0.40,9.96,12.55
Profit Margin (%),-5.25,-16.51,-1.89,0.77,10.02,6.49,-0.68,10.92,10.22
Net Income to Common Margin (%),-5.25,-16.51,-1.89,0.77,10.02,6.49,-0.68,10.92,10.22
Effective Tax Rate (%),0,0,0,0,22.92,16.66,0,0,20.16
Dvd Payout Ratio (%),0,0,0,0,0,0,0,1.56,5.43
Sustainable Growth Rate (%),0,0,0,0,0,0,0,0,85.48
