,2014,2015,2016,2017,2018,2019,2020,2021,2022
Price/Earnings,0,0,0,335.98,15.25,46.67,0,45.17,35.02
Price/Earnings Average,0,0,0,254.84,21.97,38.79,-387.48,37.47,33.04
Price/Earnings High,0,0,0,342.86,28.44,47.63,-538.23,45.76,41.98
Price/Earnings Low,0,0,0,197.15,13.99,25.20,-195.54,29.97,26.33
Price/Book Value,0,0,0,-11.56,-13.17,-53.72,-110.43,65.23,22.16
Price/Book Value Average,0,0,0,-8.77,-18.97,-44.64,-82.28,54.11,20.91
Price/Book Value High,0,0,0,-11.80,-24.55,-54.82,-114.29,66.09,26.57
Price/Book Value Low,0,0,0,-6.78,-12.08,-29.00,-41.52,43.28,16.66
Price/Tangible Book Value,0,0,0,-5.63,-4.11,-11.12,-10.26,-30.34,-54.89
Price/Tangible Book Value Average,0,0,0,-4.27,-5.93,-9.24,-7.64,-25.17,-51.79
Price/Tangible Book Value High,0,0,0,-5.75,-7.67,-11.35,-10.61,-30.75,-65.81
Price/Tangible Book Value Low,0,0,0,-3.31,-3.77,-6.00,-3.86,-20.13,-41.27
Price/Sales,0,0,0,2.60,1.53,3.03,3.53,4.93,3.58
Price/Sales Average,0,0,0,1.97,2.20,2.52,2.63,4.09,3.38
Price/Sales High,0,0,0,2.66,2.85,3.09,3.65,5.00,4.29
Price/Sales Low,0,0,0,1.53,1.40,1.64,1.33,3.27,2.69
Price/Cash Flow,0,0,0,30.83,9.24,21.63,18.94,41.28,24.62
Price/Cash Flow Average,0,0,0,23.39,13.32,17.98,14.11,34.24,23.23
Price/Cash Flow High,0,0,0,31.46,17.23,22.07,19.60,41.82,29.51
Price/Cash Flow Low,0,0,0,18.09,8.48,11.68,7.12,27.39,18.51
Price/Free Cash Flow,0,0,0,24.84,8.58,20.00,18.11,37.96,22.45
Price/Free Cash Flow Average,0,0,0,18.84,12.36,16.62,13.49,31.49,21.18
Price/Free Cash Flow High,0,0,0,25.35,16.00,20.41,18.74,38.46,26.91
Price/Free Cash Flow Low,0,0,0,14.58,7.87,10.80,6.81,25.19,16.88
EV/Sales,0,1.21,1.30,3.50,2.04,3.50,4.31,5.12,3.78
EV/Sales Average,0,1.21,1.30,2.82,2.70,2.99,3.33,4.29,3.58
EV/Sales High,0,1.21,1.30,3.55,3.34,3.57,4.44,5.18,4.49
EV/Sales Low,0,1.21,1.30,2.34,1.92,2.10,1.90,3.49,2.89
EV/EBITDA,0,6.71,7.68,29.23,8.81,18.94,34.88,26.70,17.89
EV/EBITDA Average,0,6.71,7.68,23.57,11.66,16.15,26.92,22.39,16.94
EV/EBITDA High,0,6.71,7.68,29.71,14.41,19.28,35.98,27.04,21.26
EV/EBITDA Low,0,6.71,7.68,19.55,8.27,11.35,15.40,18.20,13.69
EV/EBIT,0,11.64,16.14,75.29,12.39,31.20,200.35,46.63,27.37
EV/EBIT Average,0,11.64,16.14,60.71,16.41,26.60,154.63,39.10,25.91
EV/EBIT High,0,11.64,16.14,76.53,20.27,31.76,206.62,47.21,32.52
EV/EBIT Low,0,11.64,16.14,50.35,11.64,18.69,88.44,31.77,20.94
Last Price,0,0,0,33.93,20.38,36.49,45.24,61.25,52.25
High Price,0,0,0,34.63,38.00,37.24,46.82,62.06,62.64
Low Price,0,0,0,19.91,18.70,19.70,17.01,40.64,39.29
Enterprise Value,0,2582,2528,8305,5490,8589,21157,26378,22368
Enterprise Value Average,0,2582,2528,6697,7269,7324,16329,22121,21173
Enterprise Value High,0,2582,2528,8441,8981,8743,21819,26708,26578
Enterprise Value Low,0,2582,2528,5554,5157,5146,9339,17973,17116
