,2014,2015,2016,2017,2018,2019,2020,2021,2022
Accounts Receivable Turnover,0,10.55,4.59,4.86,5.07,4.98,6.89,5.38,5.71
Days Sales Outstanding,0,34.60,79.50,75.13,72.04,73.28,52.99,67.84,63.87
Inventory Turnover,0,5.68,2.66,3.15,3.29,3.00,4.56,3.52,3.82
Days Inventory Outstanding,0,64.31,137.15,115.92,110.81,121.62,80.05,103.70,95.53
Accounts Payable Turnover,0,23.24,6.41,6.31,5.60,4.58,7.52,4.58,5.19
Accounts Payable Turnover Days,0,15.71,56.93,57.87,65.20,79.65,48.53,79.64,70.30
Cash Conversion Cycle,0,83.21,159.73,133.17,117.65,115.24,84.51,91.90,89.10
Inventory to Cash Days,0,-29.71,-57.66,-40.79,-38.77,-48.34,-27.06,-35.86,-31.66
Inventories,0,475,444,495,524,503,944,854,1025
Raw Materials,0,348,313,363,369,371,588,507,625
Work In Process,0,42,45,58,58,48,89,89,122
Finished Goods,0,71,70,61,83,71,258,283,339
Other Inventory,0,0,0,0,0,0,0,0,0
