,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0,0.53,0.51,0.70,0.37,0.88,1.17,1.44,0.96
Current Ratio,0,2.68,2.39,2.61,2.23,2.69,2.58,2.80,2.37
Quick Ratio,0,1.46,1.40,1.65,1.25,1.68,1.81,2.08,1.63
CFO/Avg Current Liab,0,0.80,0.36,0.38,0.77,0.59,0.88,0.41,0.55
Common Equity/Total Assets,0,-12.51,-13.78,-12.46,-6.84,-3.01,-1.07,2.53,6.47
Long-Term Debt/Equity (%),0,682.91,1013.33,136.73,99.30,85.77,41.99,37.50,29.34
Long-Term Debt/Capital (%),0,122.98,125.78,137.89,121.88,108.95,101.61,87.38,72.06
Long-Term Debt/Total Assets (%),0,62.07,63.81,43.70,37.09,34.65,24.03,22.45,18.39
Total Debt/Equity (%),0,689.18,1022.33,138.15,99.77,86.18,42.43,37.93,29.73
Total Debt/Capital (%),0,124.10,126.90,139.32,122.46,109.46,102.68,88.37,73.03
Total Debt/Total Assets (%),0,62.64,64.37,44.15,37.26,34.82,24.28,22.70,18.64
CFO/Total Liabilities,0,4.24,4.10,6.38,15.81,12.45,13.31,10.12,15.62
CFO/CapEx,1.93,2.42,2.23,3.53,8.52,9.06,21.77,9.60,9.09
Altman's Z-Score,0,1.81,1.45,2.81,3.38,3.70,3.22,4.50,4.78
