,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,0,0,0,6658,4039,7483,18939,24977,21167
- Cash & Cash Equivalents,0,228,256,393,221,506,1751,2110,1613
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,15,6,0,0,0,70,70,61
+ Total Debt,0,2795,2778,2040,1672,1611,3900,3441,2753
Enterprise Value,0,2582,2528,8305,5490,8589,21157,26378,22368
Total Capital,0,2252,2189,1464,1365,1472,3798,3893,3769
Total Debt/Capital (%),0,124.10,126.90,139.32,122.46,109.46,102.68,88.37,73.03
Total Debt / EV,0,1.08,1.10,0.25,0.30,0.19,0.18,0.13,0.12
EV/Sales,0,1.21,1.30,3.50,2.04,3.50,4.31,5.12,3.78
EV/EBITDA,0,6.71,7.68,29.23,8.81,18.94,34.88,26.70,17.89
EV/EBIT,0,11.64,16.14,75.29,12.39,31.20,200.35,46.63,27.37
EV/Cash Flow to Firm,0,7.86,10.11,46.81,10.53,20.58,19.24,37.31,23.73
EV/Free Cash Flow to Firm,0,6.46,7.79,35.46,9.57,18.86,18.53,34.21,21.56
Diluted Market Cap,0,0,0,6392,4261,7623,17318,25799,21433
Diluted Enterprise Value,0,2582,2528,8039,5712,8729,19536,27199,22634
EV per Share,0,13.61,13.33,42.32,27.70,41.88,50.54,64.68,55.21
TTM Sales,2570,2127,1939,2375,2690,2452,4910,5152,5916
TTM EBITDA,491,385,329,284,623,453,607,988,1250
TTM Operating Income,331,222,157,110,443,275,106,566,817
TTM Cash Flow to Firm,340,328,250,177,521,417,1100,707,943
TTM Free Cash Flow to Firm,413,399,324,234,573,455,1142,771,1037
