,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,190,190,190,196,198,205,419,408,405
Diluted Weighted Avg Shares,190,190,190,188,209,209,383,421,410
Basic Weighted Avg Shares,190,190,190,182,202,204,383,415,405
Revenue per Share,13.55,11.21,10.22,13.04,13.34,12.05,12.83,12.42,14.60
EBITDA per Share,2.59,2.03,1.74,1.56,3.09,2.23,1.58,2.38,3.08
Operating Income per Share,1.75,1.17,0.83,0.61,2.20,1.35,0.28,1.36,2.02
"Basic EPS, GAAP",-0.71,-1.85,-0.19,0.10,1.34,0.78,-0.09,1.36,1.49
Basic EPS from Cont Ops,-0.72,-1.86,-0.16,0.10,1.34,0.78,-0.08,1.26,1.46
"Diluted EPS, GAAP",-0.71,-1.85,-0.19,0.10,1.29,0.76,-0.09,1.34,1.47
Diluted EPS from Cont Ops,-0.72,-1.86,-0.16,0.10,1.29,0.76,-0.08,1.24,1.45
Dividend per Share,0,0,0,0,0,0,0,0.02,0.08
Cash Flow per Share,0.75,0.91,0.87,1.10,2.20,1.69,2.39,1.48,2.12
Free Cash Flow per Basic Share,0.36,0.53,0.48,0.79,1.95,1.50,2.28,1.33,1.89
Cash & Equivalents per Share,0,1.20,1.35,2.00,1.12,2.47,4.18,5.17,3.98
Book Value per Share,0,-2.94,-3.13,-2.93,-1.55,-0.68,-0.41,0.94,2.36
Tangible Book Value per Share,0,-12.81,-12.40,-6.02,-4.95,-3.28,-4.41,-2.02,-0.95
