,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.20,0.12,0.10,0.14,0.14,0.15,0.23,0.35,0.36,0.33
Current Ratio,1.03,0.96,0.95,0.96,0.94,0.82,0.88,1.08,1.14,1.08
Quick Ratio,0.50,0.45,0.43,0.50,0.46,0.38,0.50,0.72,0.72,0.59
CFO/Avg Current Liab,0.19,0.19,0.15,0.16,0.16,0.14,0.14,0.18,0.26,0.19
Common Equity/Total Assets,37.91,31.59,35.94,38.77,37.31,38.40,42.28,43.01,50.70,48.91
Long-Term Debt/Equity (%),36.67,61.15,61.16,67.67,85.65,126.24,119.43,125.23,114.16,317.12
Long-Term Debt/Capital (%),21.80,30.61,29.50,30.16,32.27,28.93,33.51,37.16,34.72,47.46
Long-Term Debt/Total Assets (%),11.88,17.72,18.25,20.24,21.95,22.05,26.05,28.98,28.21,46.41
Total Debt/Equity (%),48.93,75.00,70.46,78.04,101.76,188.05,140.14,131.81,120.31,327.17
Total Debt/Capital (%),29.09,37.55,33.99,34.79,38.33,43.09,39.32,39.11,36.59,48.97
Total Debt/Total Assets (%),15.85,21.73,21.03,23.34,26.08,32.85,30.57,30.50,29.73,47.88
CFO/Total Liabilities,12.01,10.41,9.19,8.96,8.50,8.12,8.33,9.59,14.25,9.51
CFO/CapEx,2.18,2.05,1.78,1.82,1.85,2.08,2.31,3.66,4.14,2.44
Altman's Z-Score,3.32,2.90,3.12,3.21,2.97,2.68,2.81,2.92,3.39,3.68
