,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,12092,15105,11440,13451,11973,6865,9212,11617,13722,7639
- Cash & Cash Equivalents,1380,1026,772,1085,1196,1498,1952,2924,3044,1958
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,110,911,931,955,930,914,923,910,167,170
+ Total Debt,2463,4347,3998,4470,5218,6027,5771,6207,6031,8199
Enterprise Value,13285,19337,15597,17791,16925,12308,13954,15810,16876,14050
Total Capital,8466,11577,11762,12850,13612,13986,14676,15869,16482,16744
Total Debt/Capital (%),29.09,37.55,33.99,34.79,38.33,43.09,39.32,39.11,36.59,48.97
Total Debt / EV,0.19,0.22,0.26,0.25,0.31,0.49,0.41,0.39,0.36,0.58
EV/Sales,0.71,0.97,0.75,0.86,0.80,0.59,0.68,0.81,0.77,0.71
EV/EBITDA,6.69,10.26,7.24,8.15,8.20,6.42,7.31,6.38,6.08,8.30
EV/EBIT,9.19,14.61,10.50,11.65,12.00,9.67,10.56,8.27,7.40,11.54
EV/Cash Flow to Firm,8.47,11.24,10.93,12.68,12.46,3.52,10.15,9.65,7.30,8.67
EV/Free Cash Flow to Firm,6.19,7.92,7.37,8.62,8.29,3.01,7.32,7.72,5.95,6.41
Diluted Market Cap,12689,15415,11841,14033,12547,7209,9387,11672,14629,7908
Diluted Enterprise Value,13882,19647,15998,18373,17499,12652,14129,15865,17783,14319
EV per Share,172.53,247.92,202.56,240.42,238.39,192.32,221.49,250.95,286.04,260.18
TTM Sales,18769,19872,20891,20718,21253,21037,20419,19456,21985,19724
TTM EBITDA,1985,1884,2154,2182,2065,1918,1909,2479,2775,1693
TTM Operating Income,1445,1324,1486,1527,1411,1273,1322,1911,2281,1218
TTM Cash Flow to Firm,1569,1720,1428,1403,1359,3500,1374,1639,2312,1621
TTM Free Cash Flow to Firm,2147,2440,2117,2063,2043,4090,1906,2049,2837,2191
