,2019,2020,2021,2022
Market Capitalization,23788,0,0,41883
- Cash & Cash Equivalents,54,824,259,171
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,30,32,77,130
+ Total Debt,7902,8817,15443,18111
Enterprise Value,31665,8025,15261,59953
Total Capital,17723,19890,40567,46907
Total Debt/Capital (%),44.58,44.33,38.07,38.61
Total Debt / EV,0.25,1.10,1.01,0.30
EV/Sales,21.23,4.86,7.34,17.93
EV/EBITDA,23.69,5.45,8.25,20.13
EV/EBIT,42.64,10.07,16.03,45.82
EV/Cash Flow to Firm,23.35,5.68,9.42,20.07
EV/Free Cash Flow to Firm,23.35,5.68,9.42,20.07
Diluted Market Cap,22543,0,0,38831
Diluted Enterprise Value,30420,8025,15261,56900
EV per Share,94.91,22.21,25.81,90.80
TTM Sales,1492,1652,2080,3344
TTM EBITDA,1337,1474,1850,2979
TTM Operating Income,743,797,952,1309
TTM Cash Flow to Firm,1356,1414,1620,2987
TTM Free Cash Flow to Firm,1356,1414,1620,2987
