,2019,2020,2021,2022
Price/Earnings,51.59,0,0,44.63
Price/Earnings Average,50.51,0,0,45.14
Price/Earnings High,57.58,0,0,57.87
Price/Earnings Low,43.16,0,0,25.89
Price/Book Value,2.43,0,0,1.46
Price/Book Value Average,2.38,0,0,1.48
Price/Book Value High,2.71,0,0,1.89
Price/Book Value Low,2.03,0,0,0.85
Price/Tangible Book Value,2.86,0,0,2.10
Price/Tangible Book Value Average,2.80,0,0,2.12
Price/Tangible Book Value High,3.19,0,0,2.72
Price/Tangible Book Value Low,2.39,0,0,1.22
Price/Sales,15.10,0,0,11.61
Price/Sales Average,14.78,0,0,11.74
Price/Sales High,16.85,0,0,15.05
Price/Sales Low,12.63,0,0,6.73
Price/Cash Flow,21.07,0,0,15.14
Price/Cash Flow Average,20.62,0,0,15.31
Price/Cash Flow High,23.51,0,0,19.62
Price/Cash Flow Low,17.62,0,0,8.78
Price/Free Cash Flow,21.09,0,0,15.15
Price/Free Cash Flow Average,20.64,0,0,15.32
Price/Free Cash Flow High,23.53,0,0,19.64
Price/Free Cash Flow Low,17.64,0,0,8.79
EV/Sales,21.23,4.86,7.34,17.93
EV/Sales Average,20.89,4.86,7.34,18.07
EV/Sales High,23.08,4.86,7.34,21.64
EV/Sales Low,18.62,4.86,7.34,12.67
EV/EBITDA,23.69,5.45,8.25,20.13
EV/EBITDA Average,23.32,5.45,8.25,20.28
EV/EBITDA High,25.76,5.45,8.25,24.29
EV/EBITDA Low,20.78,5.45,8.25,14.22
EV/EBIT,42.64,10.07,16.03,45.82
EV/EBIT Average,41.97,10.07,16.03,46.18
EV/EBIT High,46.36,10.07,16.03,55.31
EV/EBIT Low,37.40,10.07,16.03,32.38
Last Price,71.30,0,0,63.43
High Price,79.57,0,0,82.23
Low Price,59.64,0,0,36.80
Enterprise Value,31665,8025,15261,59953
Enterprise Value Average,31163,8025,15261,60425
Enterprise Value High,34424,8025,15261,72369
Enterprise Value Low,27775,8025,15261,42368
