,2019,2020,2021,2022
Market Capitalization,17415,0,0,13704
- Cash & Cash Equivalents,144,44,158,72
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,582,556,543,634
+ Total Debt,6508,6478,6375,6706
Enterprise Value,24361,6990,6760,20972
Total Capital,3995,3596,3336,3617
Total Debt/Capital (%),162.92,180.13,191.07,185.42
Total Debt / EV,0.27,0.93,0.94,0.32
EV/Sales,12.20,4.25,3.56,10.17
EV/EBITDA,23.77,7.66,6.60,19.65
EV/EBIT,66.73,32.49,19.86,58.81
EV/Cash Flow to Firm,21.23,7.09,7.06,19.51
EV/Free Cash Flow to Firm,21.23,7.09,7.06,19.51
Diluted Market Cap,16867,0,0,13516
Diluted Enterprise Value,23814,6990,6760,20784
EV per Share,48.22,12.98,12.54,38.37
TTM Sales,1997,1645,1896,2061
TTM EBITDA,1025,912,1025,1067
TTM Operating Income,365,215,340,357
TTM Cash Flow to Firm,1147,986,957,1075
TTM Free Cash Flow to Firm,1147,986,957,1075
