,2019,2020,2021,2022
Price/Earnings,368.14,0,0,26.99
Price/Earnings Average,348.21,0,0,32.57
Price/Earnings High,405.09,0,0,40.58
Price/Earnings Low,286.22,0,0,20.06
Price/Book Value,-5.63,0,0,-3.68
Price/Book Value Average,-5.32,0,0,-4.44
Price/Book Value High,-6.19,0,0,-5.53
Price/Book Value Low,-4.37,0,0,-2.74
Price/Tangible Book Value,2.75,0,0,1.99
Price/Tangible Book Value Average,2.60,0,0,2.41
Price/Tangible Book Value High,3.02,0,0,3.00
Price/Tangible Book Value Low,2.14,0,0,1.48
Price/Sales,8.39,0,0,6.55
Price/Sales Average,7.94,0,0,7.91
Price/Sales High,9.23,0,0,9.85
Price/Sales Low,6.52,0,0,4.87
Price/Cash Flow,19.81,0,0,15.00
Price/Cash Flow Average,18.74,0,0,18.11
Price/Cash Flow High,21.80,0,0,22.56
Price/Cash Flow Low,15.40,0,0,11.15
Price/Free Cash Flow,19.94,0,0,15.01
Price/Free Cash Flow Average,18.86,0,0,18.12
Price/Free Cash Flow High,21.94,0,0,22.57
Price/Free Cash Flow Low,15.50,0,0,11.16
EV/Sales,12.20,4.25,3.56,10.17
EV/Sales Average,11.72,4.25,3.56,11.55
EV/Sales High,13.07,4.25,3.56,13.52
EV/Sales Low,10.26,4.25,3.56,8.47
EV/EBITDA,23.77,7.66,6.60,19.65
EV/EBITDA Average,22.85,7.66,6.60,22.31
EV/EBITDA High,25.47,7.66,6.60,26.12
EV/EBITDA Low,19.99,7.66,6.60,16.35
EV/EBIT,66.73,32.49,19.86,58.81
EV/EBIT Average,64.15,32.49,19.86,66.76
EV/EBIT High,71.52,32.49,19.86,78.16
EV/EBIT Low,56.12,32.49,19.86,48.94
Last Price,34.47,0,0,25.07
High Price,37.93,0,0,37.69
Low Price,26.80,0,0,18.63
Enterprise Value,24361,6990,6760,20972
Enterprise Value Average,23419,6990,6760,23806
Enterprise Value High,26109,6990,6760,27871
Enterprise Value Low,20486,6990,6760,17452
