,2019,2020,2021,2022
Cash Ratio,0.25,0.03,0.08,0.04
Current Ratio,1.60,2.27,0.37,0.34
Quick Ratio,0.67,0.22,0.32,0.28
CFO/Avg Current Liab,0,0.80,0.49,0.49
Common Equity/Total Assets,-22.06,-21.59,-23.47,-23.61
Long-Term Debt/Equity (%),96.22,86.44,73.79,78.35
Long-Term Debt/Capital (%),160.59,176.52,156.12,157.90
Long-Term Debt/Total Assets (%),45.72,39.88,34.14,36.21
Total Debt/Equity (%),97.61,88.20,90.31,92.01
Total Debt/Capital (%),162.92,180.13,191.07,185.42
Total Debt/Total Assets (%),46.38,40.69,41.78,42.52
CFO/Total Liabilities,11.49,8.84,9.70,10.61
CFO/CapEx,0,0,0,0
Altman's Z-Score,1.32,-0.08,-0.29,0.70
