,2019,2020,2021,2022
Total Current Assets,1236,1270,1441,1547
"+ Cash, Cash Equivalents & STI",194,205,256,142
+ Cash & Cash Equivalents,194,205,256,142
+ ST Investments,0,0,0,0
+ Accounts & Notes Receiv,851,859,961,1175
"+ Accounts Receivable, Net",851,859,961,1175
"+ Notes Receivable, Net",0,0,0,0
"+ Loans Receivable, Net",0,0,0,0
"+ Other Receivable, Net",0,0,0,0
+ Inventories,0,0,0,0
+ Raw Materials,0,0,0,0
+ Work In Process,0,0,0,0
+ Finished Goods,0,0,0,0
+ Inventory Adjustments,0,0,0,0
+ Other Inventory,0,0,0,0
+ Other ST Assets,192,205,224,230
+ Prepaid Expenses,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0
+ Misc ST Assets,0,0,0,0
Total Noncurrent Assets,12580,12879,13009,14593
"+ Property, Plant & Equip, Net",6492,6699,-1665,7699
"+ Property, Plant & Equip",9918,10443,2314,11609
- Accumulated Depreciation,3426,3744,3979,3910
+ LT Investments & Receivables,0,0,0,0
+ LT Investments,0,0,0,0
+ LT Receivables,0,0,0,0
+ Other LT Assets,6088,6181,14674,6894
+ Total Intangible Assets,5878,5885,5645,6306
+ Goodwill,4485,4558,4464,4883
+ Other Intangible Assets,1393,1327,1181,1423
+ LT Deferred Tax Assets,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0
+ Misc LT Assets,210,296,9029,588
Total Assets,13817,14149,14450,16141
+ Payables & Accruals,1286,1506,1402,1212
+ Accounts Payable,325,360,369,469
+ Accrued Taxes,115,132,0,0
+ Interest & Dividends Payable,0,0,0,0
+ Other Payables & Accruals,846,1015,1033,743
+ ST Debt,389,194,309,376
+ ST Borrowings,389,194,309,88
+ ST Finance Leases,223,250,260,289
+ Other ST Liabilities,274,296,307,329
+ Deferred Revenue,274,296,307,329
+ Derivatives & Hedging,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Misc ST Liabilities,0,0,0,0
Total Current Liabilities,1950,1996,2019,1918
+ LT Debt,10004,10554,11134,12911
+ LT Borrowings,8276,8510,8963,10481
+ LT Finance Leases,1729,2045,2171,2429
+ Other LT Liabilities,399,463,440,676
+ Accrued Liabilities,188,198,224,263
+ Pension Liabilities,0,0,0,0
+ Deferred Revenue,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Derivatives & Hedging,0,0,0,0
+ Misc LT Liabilities,211,264,216,413
Total Noncurrent Liabilities,10403,11017,11574,13586
Total Liabilities,12353,13013,13593,15504
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Share Capital & APIC,4301,4343,4415,4471
+ Common Stock,3,3,3,3
+ Additional Paid in Capital,4299,4340,4413,4468
- Treasury Stock,0,0,0,0
+ Retained Earnings,-2575,-2950,-3221,-3392
+ Other Equity,-263,-256,-338,-442
Equity Before Minority Interest,1464,1137,856,637
+ Minority/Non Controlling Interest,0,0,1,0
Total Equity,1464,1137,857,637
Total Liabilities & Equity,13817,14149,14450,16141
Shares Outstanding,287,288,290,291
Capital Leases - Total,1952,2295,2431,2718
Net Debt,8471,8498,9016,10427
Net Debt to Equity,578.53,747.61,1051.97,1637.45
Tangible Common Equity Ratio,-56,-57,-54,-58
Current Ratio,0.63,0.64,0.71,0.81
Cash Conversion Cycle,0,4.16,3.48,6.50
Number of Employees,25000,24000,25000,26000
