,2019,2020,2021,2022
Sales/Revenue/Turnover,4263,4147,4492,5104
+ Sales & Services Revenue,4263,4147,4492,5104
- Cost of Revenue,1833,1757,1887,2189
+ Cost of Goods & Services,1833,1757,1887,2189
Gross Profit,2429,2390,2604,2914
+ Other Operating Income,0,0,0,0
- Operating Expenses,1650,1601,1703,1868
"+ Selling, General & Admin",992,949,1023,1141
+ Research & Development,0,0,0,0
+ Other Operating Expense,658,652,680,728
Operating Income (Loss),779,789,901,1046
- Non-Operating (Income) Loss,451,416,272,415
"+ Interest Expense, Net",413,410,411,480
+ Interest Expense,419,419,418,488
- Interest Income,7,8,7,8
+ Other Non-Op (Income) Loss,39,6,-138,-65
Pretax Income,328,373,629,632
- Income Tax Expense (Benefit),60,30,176,69
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,268,343,453,562
- Net Extraordinary Losses (Gains),2,1,5,10
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,2,1,5,10
Income (Loss) Incl. MI,266,342,448,552
- Minority Interest,-1,0,-3,-5
"Net Income, GAAP",267,343,450,557
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",267,343,450,557
Basic Weighted Avg Shares,287,288,289,291
"Basic EPS, GAAP",0.93,1.19,1.56,1.92
Basic EPS from Cont Ops,0.93,1.19,1.56,1.93
Diluted Weighted Avg Shares,288,289,291,292
"Diluted EPS, GAAP",0.93,1.19,1.55,1.90
Diluted EPS from Cont Ops,0.93,1.19,1.56,1.92
EBITDA,1438,1458,1598,1792
EBITDA Margin (%),33.73,35.16,35.58,35.11
EBITA,779,806,918,1046
EBIT,779,789,901,1046
Gross Margin (%),56.99,57.63,57.98,57.11
Operating Margin (%),18.28,19.02,20.07,20.50
Profit Margin (%),6.27,8.26,10.02,10.91
Sales per Employee,170503,172803,179661,196291
Dividend per Share,2.46,2.49,2.48,2.49
Depreciation Expense,658,652,680,746
