,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,443,434,420,355,332,306,300,300,289,280
Diluted Weighted Avg Shares,443,453,443,400,355,329,313,307,302,290
Basic Weighted Avg Shares,443,444,436,394,347,322,306,302,297,286
Revenue per Share,29.53,29.91,30.06,16.13,16.94,17.66,18.29,18.72,22.17,23.92
EBITDA per Share,5.69,6.21,6.30,4.60,5.46,5.86,6.55,5.81,7.62,8.06
Operating Income per Share,4.06,4.55,4.59,3.82,4.73,5.43,6.19,5.33,7.07,7.55
"Basic EPS, GAAP",2.46,2.37,2.97,4.17,3.86,4.79,4.23,2.99,5.30,4.63
Basic EPS from Cont Ops,2.40,2.30,2.98,2.58,3.86,4.79,4.23,2.99,5.30,4.63
"Diluted EPS, GAAP",2.46,2.32,2.92,4.11,3.77,4.69,4.13,2.94,5.22,4.57
Diluted EPS from Cont Ops,2.40,2.25,2.93,2.55,3.77,4.69,4.13,2.94,5.22,4.57
Dividend per Share,1.39,1.51,1.67,1.89,1.20,1.43,1.67,1.87,1.99,2.27
Cash Flow per Share,4.83,4.61,4.91,3.06,2.97,3.65,4.30,4.32,5.74,4.99
Free Cash Flow per Basic Share,2.46,3.47,3.89,1.97,2.05,2.93,3.66,3.79,4.97,4.01
Cash & Equivalents per Share,1.29,1.33,1.75,1.98,4.58,0.95,2.02,2.43,1.68,1.31
Book Value per Share,4.74,4.00,2.74,-14.71,-18.26,-24.81,-25.43,-24.93,-27.85,-30.38
Tangible Book Value per Share,1.58,1.35,0.10,-17.88,-20.95,-28.41,-29.30,-29.44,-32.49,-35.24
