,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,6339,7558,10624,11240,14973,15871,19210,26943,30788,23513
- Cash & Cash Equivalents,937,662,1384,1303,1008,1473,1494,3019,3210,2541
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,3,4,1,1,1,175,274,282,330,389
+ Total Debt,3509,3683,3812,3271,2872,3204,3399,4283,5412,6067
Enterprise Value,8915,10583,13053,13209,16837,17776,21389,28490,33320,27428
Total Capital,5661,6321,7106,7333,7822,9600,11318,14327,19390,25646
Total Debt/Capital (%),61.99,58.26,53.64,44.61,36.71,33.37,30.04,29.90,27.91,23.66
Total Debt / EV,0.39,0.35,0.29,0.25,0.17,0.18,0.16,0.15,0.16,0.22
EV/Sales,1.42,1.32,1.21,1.09,1.19,1.11,1.22,1.40,1.20,0.82
EV/EBITDA,13.46,12.76,11.29,9.47,10.32,8.65,10.13,9.59,6.18,3.58
EV/EBIT,13.94,13.38,11.84,9.90,10.68,8.92,10.49,9.86,6.26,3.62
EV/Cash Flow to Firm,0,0,18.64,21.37,38.70,32.60,23.98,20.04,62.35,48.82
EV/Free Cash Flow to Firm,0,0,17.25,18.76,28.42,28.98,20.98,18.77,41.56,38.63
Diluted Market Cap,7163,7600,10658,11306,15129,16172,19678,27402,31634,24254
Diluted Enterprise Value,9738,10625,13086,13274,16994,18077,21857,28949,34166,28170
EV per Share,27.60,29.03,35.41,35.42,44.90,47.24,58.06,78.27,93.59,79.74
TTM Sales,6259,8025,10824,12157,14091,16068,17593,20311,27774,33480
TTM EBITDA,662,829,1156,1396,1631,2056,2112,2971,5393,7652
TTM Operating Income,640,791,1102,1335,1577,1993,2040,2890,5319,7570
TTM Cash Flow to Firm,-1228,-661,700,618,435,545,892,1422,534,562
TTM Free Cash Flow to Firm,-1170,-561,757,704,592,613,1019,1518,802,710
