,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,8357,8857,8814,8592,8840,9164,15112,13440,16103,16856
ST Debt,540,848,913,1060,645,482,868,1919,545,2020
LT Debt,7817,8009,7901,7532,8195,8682,14244,11521,15558,14836
Total Debt/EBITDA,4.26,4.48,4.57,4.07,4.15,4.32,6.34,5.50,6.01,5.91
Net Debt/EBITDA,4.15,4.33,4.43,3.91,4.02,2.32,6.24,5.44,5.92,5.88
Total Debt/EBIT,8.27,9.47,9.45,8.96,8.25,11.03,14.11,10.98,11.81,10.76
Net Debt/EBIT,8.07,9.15,9.16,8.60,8.00,5.94,13.89,10.86,11.65,10.72
EBITDA to Interest Expense,4.06,4.43,4.47,5.21,5.79,5.05,4.20,4.88,5.06,5.45
EBITDA-CapEx/Interest Expense,1.40,1.35,0.80,1.72,1.92,1.12,-0.22,-0.31,-0.92,-2.99
EBIT to Interest Expense,2.09,2.10,2.16,2.37,2.91,1.98,1.89,2.44,2.58,2.99
Interest Expense,484,446,432,405,368,420,567,501,529,524
Common Equity/Total Assets,1.20,2.00,-3.06,-3.04,2.41,1.31,1.79,-2.51,0.42,1.86
Long-Term Debt/Equity (%),180.57,176.10,228.29,217.69,174.81,107.74,170.40,138.01,165.25,147.70
Long-Term Debt/Capital (%),90.69,85.92,96.81,95.01,87.30,77.12,81.45,76.99,91.23,80.79
Long-Term Debt/Total Assets (%),35.74,34.52,37.03,34.50,36.04,32.14,40.09,34.42,41.29,38.49
Total Debt/Equity (%),193.05,194.74,254.67,248.32,188.57,113.73,180.79,161.00,171.04,167.80
Total Debt/Capital (%),96.96,95.01,108.00,108.38,94.17,81.40,86.41,89.82,94.43,91.79
Total Debt/Total Assets (%),38.21,38.18,41.31,39.36,38.88,33.93,42.53,40.15,42.74,43.73
Net Debt to Equity,188.24,188.19,247.04,238.47,183.02,61.22,177.90,159.24,168.59,167.07
Net Debt/Capital (%),96.89,94.85,108.27,108.75,94.01,70.20,86.22,89.71,94.35,91.76
EBITDA,1964,1976,1930,2111,2132,2122,2382,2443,2679,2854
EBITDA-CapEx,678,604,346,697,706,471,-124,-153,-485,-1565
Operating Income (Loss),1010,935,933,959,1072,831,1071,1224,1363,1566
