,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,71312,74331,70074,71890,76450,81581,82059,82584,93775,94943
+ Sales & Services Revenue,71312,74331,70074,71890,76450,81581,82059,82584,93775,94943
- Cost of Revenue,22342,22746,21536,21685,25354,27091,27556,28427,29855,31089
+ Cost of Goods & Services,22342,22746,21536,21685,25354,27091,27556,28427,29855,31089
Gross Profit,48970,51585,48538,50205,51096,54490,54503,54157,63920,63854
+ Other Operating Income,0,0,0,0,0,0,0,0,0,0
- Operating Expenses,30013,30448,30249,29040,31974,33315,33533,34243,39373,40151
"+ Selling, General & Admin",21830,21954,21203,19945,21420,22540,22178,22084,24659,24765
+ Research & Development,8183,8494,9046,9095,10554,10775,11355,12159,14714,15386
+ Other Operating Expense,0,0,0,0,0,0,0,0,0,0
Operating Income (Loss),18957,21137,18289,21165,19122,21175,20970,19914,24547,23703
- Non-Operating (Income) Loss,3486,574,-907,1362,1449,3176,3642,3417,1771,1978
"+ Interest Expense, Net",408,466,424,358,549,394,-39,90,130,-214
+ Interest Expense,482,533,552,726,934,1005,318,201,183,276
- Interest Income,74,67,128,368,385,611,357,111,53,490
+ Other Non-Op (Income) Loss,3078,108,-1331,1004,900,2782,3681,3327,1641,2192
Pretax Income,15471,20563,19196,19803,17673,17999,17328,16497,22776,21725
- Income Tax Expense (Benefit),1640,4240,3787,3263,16373,2702,2209,1783,1898,3784
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,13831,16323,15409,16540,1300,15297,15119,14714,20878,17941
- Net Extraordinary Losses (Gains),0,0,0,0,0,0,0,0,0,0
+ Discontinued Operations,0,0,0,0,0,0,0,0,0,0
+ Extraord. & Accounting Changes,0,0,0,0,0,0,0,0,0,0
Income (Loss) Incl. MI,13831,16323,15409,16540,1300,15297,15119,14714,20878,17941
- Minority Interest,0,0,0,0,0,0,0,0,0,0
"Net Income, GAAP",13831,16323,15409,16540,1300,15297,15119,14714,20878,17941
- Preferred Dividends,0,0,0,0,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",13831,16323,15409,16540,1300,15297,15119,14714,20878,17941
Basic Weighted Avg Shares,2821,2783,2755,2707,2683,2662,2633,2633,2632,2625
"Basic EPS, GAAP",4.90,5.86,5.59,6.11,0.48,5.75,5.74,5.59,7.93,6.83
Basic EPS from Cont Ops,4.90,5.86,5.59,6.11,0.48,5.75,5.74,5.59,7.93,6.83
Diluted Weighted Avg Shares,2877,2864,2813,2789,2745,2729,2684,2671,2674,2664
"Diluted EPS, GAAP",4.81,5.70,5.48,5.93,0.47,5.61,5.63,5.51,7.81,6.73
Diluted EPS from Cont Ops,4.81,5.70,5.48,5.93,0.47,5.61,5.63,5.51,7.81,6.73
EBITDA,23061,25032,22035,24919,24764,28104,27979,27145,31937,30673
EBITDA Margin (%),32.34,33.68,31.45,34.66,32.39,34.45,34.10,32.87,34.06,32.31
EBITA,18957,21137,18289,21165,19122,21175,20970,19914,24547,23703
EBIT,18957,21137,18289,21165,19122,21175,20970,19914,24547,23703
Gross Margin (%),68.67,69.40,69.27,69.84,66.84,66.79,66.42,65.58,68.16,67.26
Operating Margin (%),26.58,28.44,26.10,29.44,25.01,25.96,25.55,24.11,26.18,24.97
Profit Margin (%),19.40,21.96,21.99,23.01,1.70,18.75,18.42,17.82,22.26,18.90
Sales per Employee,556690,587597,551330,568750,570522,603856,620719,605455,649861,609390
Dividend per Share,2.58,2.79,2.97,3.19,3.33,3.57,3.77,3.98,4.19,4.45
Depreciation Expense,4104,3895,3746,3754,5642,6929,7009,7231,7390,6970
