,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,12947,13220,9594,7338,9924,9441,10231,8124,14921,16665
- Cash & Cash Equivalents,1711,1997,286,1164,835,682,287,683,1628,2323
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,362,363,352,3144,3105,2773,2740,2681,2830,2802
+ Total Debt,3098,4593,5593,5778,4692,4698,4240,4223,3716,3225
Enterprise Value,14696,16179,15252,15096,16886,16230,16924,14345,19839,20369
Total Capital,7187,8131,9005,11289,10242,9936,8940,8833,8636,9896
Total Debt/Capital (%),43.11,56.48,62.11,51.18,45.81,47.28,47.43,47.81,43.03,32.59
Total Debt / EV,0.21,0.28,0.37,0.38,0.28,0.29,0.25,0.29,0.19,0.16
EV/Sales,2.68,3.41,3.54,4.10,4.09,3.66,3.69,3.48,3.03,1.82
EV/EBITDA,5.29,8.14,8.64,13.29,15.31,10.03,8.99,9.54,6.42,3.18
EV/EBIT,6.20,10.14,11.87,32.96,76.75,22.23,16.79,23.44,9.01,3.66
EV/Cash Flow to Firm,9.35,10.67,11.85,19.95,33.98,9.63,9.94,10.26,6.56,4.94
EV/Free Cash Flow to Firm,6.13,4.87,4.06,5.09,17.41,7.70,8.03,8.40,5.59,4.44
Diluted Market Cap,13724,14043,9718,7338,9950,9906,10495,8171,15540,17398
Diluted Enterprise Value,15473,17001,15377,15096,16912,16695,17188,14392,20458,21102
EV per Share,52.63,66.95,65.44,64.76,72.38,72.84,78.34,67.05,95.57,104.14
TTM Sales,5475,4743,4308,3685,4130,4429,4590,4124,6538,11186
TTM EBITDA,2781,1988,1765,1136,1103,1618,1883,1504,3091,6411
TTM Operating Income,2370,1596,1285,458,220,730,1008,612,2203,5561
TTM Cash Flow to Firm,1572,1517,1287,757,497,1686,1703,1398,3023,4121
TTM Free Cash Flow to Firm,2396,3325,3756,2968,970,2108,2107,1707,3547,4583
