,2019,2020,2021,2022
Market Capitalization,45711,28015,52504,38411
- Cash & Cash Equivalents,669,1012,534,622
+ Preferred Equity and Hybrid Capital,42,42,42,41
+ Minority/Non Controlling Interest,604,619,1039,685
+ Total Debt,26007,27862,26328,25458
Enterprise Value,71695,55526,79379,63974
Total Capital,21274,22420,21585,20258
Total Debt/Capital (%),122.25,124.27,121.97,125.67
Total Debt / EV,0.36,0.50,0.33,0.40
EV/Sales,12.46,12.05,15.51,12.09
EV/EBITDA,16.67,16.69,21.23,16.51
EV/EBIT,24.66,28.16,32.89,24.76
EV/Cash Flow to Firm,15.63,17.83,18.09,14.21
EV/Free Cash Flow to Firm,13.12,15.43,16.15,12.42
Diluted Market Cap,45872,26329,52498,38512
Diluted Enterprise Value,71856,53840,79373,64075
EV per Share,233.63,169.03,241.55,195.67
TTM Sales,5755,4608,5117,5291
TTM EBITDA,4302,3327,3739,3876
TTM Operating Income,2908,1972,2413,2584
TTM Cash Flow to Firm,4588,3114,4387,4503
TTM Free Cash Flow to Firm,5464,3598,4915,5153
