,2019,2020,2021,2022
Price/Earnings,21.86,23.74,23.37,18.03
Price/Earnings Average,24.02,22.50,18.74,18.03
Price/Earnings High,27.36,41.72,25.03,25.45
Price/Earnings Low,20.90,11.76,12.00,13.20
Price/Book Value,-8.50,-4.59,-9.02,-6.48
Price/Book Value Average,-9.33,-4.35,-7.23,-6.48
Price/Book Value High,-10.63,-8.07,-9.66,-9.15
Price/Book Value Low,-8.12,-2.27,-4.63,-4.75
Price/Tangible Book Value,15.28,7.87,12.19,10.26
Price/Tangible Book Value Average,16.78,7.46,9.78,10.26
Price/Tangible Book Value High,19.12,13.83,13.06,14.48
Price/Tangible Book Value Low,14.60,3.90,6.26,7.51
Price/Sales,7.97,5.71,10.26,7.28
Price/Sales Average,8.76,5.42,8.23,7.28
Price/Sales High,9.98,10.04,10.99,10.27
Price/Sales Low,7.62,2.83,5.27,5.33
Price/Cash Flow,12.05,11.32,14.43,10.22
Price/Cash Flow Average,13.24,10.72,11.58,10.22
Price/Cash Flow High,15.08,19.89,15.46,14.43
Price/Cash Flow Low,11.52,5.61,7.41,7.49
Price/Free Cash Flow,9.79,9.37,12.60,8.72
Price/Free Cash Flow Average,10.76,8.88,10.11,8.72
Price/Free Cash Flow High,12.26,16.46,13.50,12.31
Price/Free Cash Flow Low,9.36,4.64,6.47,6.38
EV/Sales,12.46,12.05,15.51,12.09
EV/Sales Average,13.24,11.73,13.48,12.09
EV/Sales High,14.46,16.66,16.24,15.08
EV/Sales Low,12.11,8.98,10.52,10.15
EV/EBITDA,16.67,16.69,21.23,16.51
EV/EBITDA Average,17.71,16.25,18.45,16.51
EV/EBITDA High,19.34,23.07,22.23,20.59
EV/EBITDA Low,16.20,12.44,14.40,13.85
EV/EBIT,24.66,28.16,32.89,24.76
EV/EBIT Average,26.21,27.42,28.59,24.76
EV/EBIT High,28.61,38.92,34.44,30.88
EV/EBIT Low,23.96,20.99,22.31,20.78
Last Price,148.96,85.28,159.77,117.48
High Price,186.44,149.89,171.12,165.83
Low Price,142.40,42.25,82.06,86.02
Enterprise Value,71695,55526,79379,63974
Enterprise Value Average,76205,54062,68986,63973
Enterprise Value High,83197,76750,83108,79782
Enterprise Value Low,69682,41390,53842,53688
