,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,60876,62140,57119,47683,50684,31795,36676,36291,84357,48137
- Cash & Cash Equivalents,14468,10757,14272,15905,18492,16718,17504,25243,20540,25134
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,364,369,109,113,126,134,45,121,103,-75
+ Total Debt,114688,119171,132854,142970,154287,154213,156721,162998,139485,140474
Enterprise Value,139360,150530,154906,151939,166170,152191,158791,149449,174352,144466
Total Capital,138750,144136,147418,158758,175672,177056,177127,181403,175398,172195
Total Debt/Capital (%),82.66,82.68,90.12,90.06,87.83,87.10,88.48,89.85,79.52,81.58
Total Debt / EV,0.82,0.79,0.86,0.94,0.93,1.01,0.99,1.09,0.80,0.97
EV/Sales,0.95,1.04,1.04,1.00,1.06,0.95,1.02,1.18,1.28,0.91
EV/EBITDA,11.72,13.86,9.92,6.99,7.43,7.26,8.57,12.82,11.08,7.50
EV/EBIT,25.62,43.76,20.26,11.67,11.94,12.02,15.81,35.59,17.84,11.31
EV/Cash Flow to Firm,12.34,9.97,9.26,5.75,6.00,6.31,9.77,4.15,7.62,11.65
EV/Free Cash Flow to Firm,7.79,6.67,6.48,4.55,4.78,4.77,6.65,3.58,5.99,7.50
Diluted Market Cap,62449,61349,56708,48508,49973,31215,37037,35201,82576,46683
Diluted Enterprise Value,163033,170132,175399,175686,185894,168844,176299,173077,201624,161948
EV per Share,34.98,37.55,38.43,38.65,40.95,37.38,40.05,36.49,42.31,34.90
TTM Sales,146917,144077,149558,151800,156776,160338,155900,127144,136341,158057
TTM EBITDA,11895,10863,15613,21737,22370,20974,18536,11656,15735,19265
TTM Operating Income,5439,3440,7647,13020,13917,12666,10046,4199,9775,12772
TTM Cash Flow to Firm,11290,15092,16726,26437,27680,24114,16258,35998,22894,12403
TTM Free Cash Flow to Firm,17887,22555,23922,33429,34729,31899,23890,41740,29121,19269
