,2018,2019,2020,2021,2022
Market Capitalization,0,0,0,0,7105
- Cash & Cash Equivalents,0,319,500,737,706
+ Preferred Equity and Hybrid Capital,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0
+ Total Debt,0,104,1339,9134,8913
Enterprise Value,0,-215,839,8397,15312
Total Capital,0,104,1123,8139,8585
Total Debt/Capital (%),0,100.00,119.23,112.23,103.82
Total Debt / EV,0,-0.48,1.60,1.09,0.58
EV/Sales,0,0,0.10,1.33,2.48
EV/EBITDA,0,0,0.29,4.19,7.99
EV/EBIT,0,0,0.30,4.64,8.98
EV/Cash Flow to Firm,0,0,0.38,3.13,12.73
EV/Free Cash Flow to Firm,0,0,0.34,2.42,8.23
Diluted Market Cap,0,0,0,0,7127
Diluted Enterprise Value,0,-215,839,8397,15334
EV per Share,0,0,3.31,33.12,60.19
TTM Sales,9777,7777,8096,6304,6174
TTM EBITDA,4379,4173,2936,2006,1917
TTM Operating Income,2706,3840,2779,1811,1705
TTM Cash Flow to Firm,3687,2767,2187,2686,1203
TTM Free Cash Flow to Firm,3788,2859,2442,3470,1861
