,2016,2017,2018,2019,2020,2021,2022,2023
Market Capitalization,0,0,0,0,0,0,17972,17208
- Cash & Cash Equivalents,0,19,2500,3234,4645,5886,5200,4272
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,11,17,2,36,67
+ Total Debt,0,0,0,6751,8068,7951,7313,7210
Enterprise Value,0,-19,-2500,3528,3440,2067,20121,20213
Total Capital,0,0,0,7126,8765,9941,9816,9551
Total Debt/Capital (%),0,0,0,94.74,92.05,79.98,74.50,75.49
Total Debt / EV,0,0,0,1.91,2.35,3.85,0.36,0.36
EV/Sales,0,0,0,0.31,0.28,0.16,1.44,1.36
EV/EBITDA,0,0,0,1.33,1.25,0.67,6.85,6.37
EV/EBIT,0,0,0,1.45,1.38,0.75,7.82,7.31
EV/Cash Flow to Firm,0,0,0,1.32,1.31,0.70,9.34,10.33
EV/Free Cash Flow to Firm,0,0,0,1.21,1.15,0.60,8.18,8.73
Diluted Market Cap,0,0,0,0,0,0,18605,18054
Diluted Enterprise Value,0,-19,-2500,3528,3440,2067,20754,21059
EV per Share,0,0,0,5.68,5.69,3.59,36.54,39.94
TTM Sales,8894,9921,10153,11389,12303,12909,13974,14913
TTM EBITDA,2144,2704,2386,2643,2755,3065,2937,3175
TTM Operating Income,1974,2535,2215,2431,2497,2765,2574,2764
TTM Cash Flow to Firm,1108,1669,1361,2674,2633,2937,2154,1957
TTM Free Cash Flow to Firm,1215,1860,1576,2909,2992,3421,2461,2314
