,2016,2017,2018,2019,2020,2021,2022,2023
Shares Outstanding,620,621,621,621,605,576,551,506
Diluted Weighted Avg Shares,620,620,620,621,616,595,570,531
Basic Weighted Avg Shares,620,620,620,621,613,591,566,531
Revenue per Share,14.35,16.00,16.38,18.34,20.07,21.84,24.69,28.08
EBITDA per Share,3.46,4.36,3.85,4.26,4.49,5.19,5.19,5.98
Operating Income per Share,3.18,4.09,3.57,3.91,4.07,4.68,4.55,5.21
"Basic EPS, GAAP",1.73,2.21,3.53,2.57,1.63,3.64,2.13,2.33
Basic EPS from Cont Ops,1.79,2.27,3.59,2.65,1.73,3.72,2.18,2.36
"Diluted EPS, GAAP",1.73,2.21,3.53,2.57,1.62,3.61,2.11,2.33
Diluted EPS from Cont Ops,1.79,2.27,3.59,2.65,1.72,3.70,2.16,2.36
Dividend per Share,0.06,0.06,0.12,10.77,0.55,0.56,0.54,0.56
Cash Flow per Share,1.77,2.67,2.12,4.06,3.86,4.47,3.33,3.39
Free Cash Flow per Basic Share,1.60,2.36,1.78,3.69,3.27,3.65,2.79,2.72
Cash & Equivalents per Share,0,0.03,4.03,5.21,7.68,10.22,9.44,8.44
Book Value per Share,0,0,0,0.59,1.12,3.45,4.48,4.49
Tangible Book Value per Share,0,0.36,6.41,7.12,5.79,7.87,8.47,7.51
