,2016,2017,2018,2019,2020,2021,2022,2023
Cash Ratio,0,0.01,1.42,1.89,2.44,1.96,2.26,1.14
Current Ratio,0,1.37,3.17,3.78,3.93,2.91,3.61,1.93
Quick Ratio,0,0.84,2.46,3.04,3.43,2.64,3.19,1.71
CFO/Avg Current Liab,0,1.62,0.69,1.45,1.31,1.08,0.71,0.59
Common Equity/Total Assets,0,0,0,1.87,3.13,8.67,11.12,10.40
Long-Term Debt/Equity (%),0,0,0,67.79,78.59,64.74,63.35,57.07
Long-Term Debt/Capital (%),0,0,0,94.74,90.66,72.45,73.41,62.41
Long-Term Debt/Total Assets (%),0,0,0,34.60,36.53,31.41,32.48,27.26
Total Debt/Equity (%),0,0,0,67.79,79.79,71.47,64.29,69.03
Total Debt/Capital (%),0,0,0,94.74,92.05,79.98,74.50,75.49
Total Debt/Total Assets (%),0,0,0,34.60,37.09,34.68,32.96,32.97
CFO/Total Liabilities,0,38.90,37.34,26.43,20.32,22.36,17.43,15.76
CFO/CapEx,10.25,8.66,6.13,10.74,6.59,5.45,6.14,5.04
Altman's Z-Score,0,4.29,2.94,1.84,1.86,1.94,3.14,2.97
