,2016,2017,2018,2019,2020,2021,2022,2023
Return on Common Equity (%),0,0,0,876.37,191.38,161.17,54.10,52.27
Return on Assets (%),0,26.52,18.64,9.78,4.84,9.62,5.34,5.63
Return on Capital (%),0,0,0,47.63,15.15,25.63,14.65,14.28
Return on Invested Capital (%),0,46.77,0,13.37,10.41,11.25,9.96,10.99
Gross Margin (%),100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
EBITDA Margin (%),24.11,27.26,23.50,23.21,22.39,23.74,21.02,21.29
Operating Margin (%),22.19,25.55,21.82,21.35,20.30,21.42,18.42,18.53
Incremental Operating Margin (%),0,54.63,-137.93,17.48,7.22,44.22,-17.93,20.23
Pretax Margin (%),20.72,22.59,21.37,19.53,11.90,22.60,12.12,11.64
Profit Margin (%),12.05,13.83,21.54,14.00,8.12,16.66,8.62,8.31
Net Income to Common Margin (%),12.05,13.83,21.54,14.00,8.12,16.66,8.62,8.31
Effective Tax Rate (%),39.93,37.13,0,26.12,27.46,24.57,27.21,27.82
Dvd Payout Ratio (%),3.15,2.42,3.39,395.51,29.78,14.65,24.35,23.60
Sustainable Growth Rate (%),0,0,0,-2589.73,134.39,137.55,40.93,39.93
