,2015,2016,2017,2018,2019,2020,2021,2022
+ Net Income,-105,-93,-10,-61,79,-4,-75,-73
+ Depreciation & Amortization,56,53,58,57,57,52,78,89
+ Non-Cash Items,57,16,-43,64,-24,83,88,159
+ Stock-Based Compensation,13,13,17,23,37,66,113,145
+ Deferred Income Taxes,-8,-8,-65,-16,-69,-7,-38,-2
+ Asset Impairment Charge,23,10,0,0,0,0,0,0
+ Other Non-Cash Adj,29,1,5,57,9,24,13,16
+ Chg in Non-Cash Work Cap,-41,-49,-44,-48,-61,-161,-41,-42
+ (Inc) Dec in Accts Receiv,-7,-6,-1,-4,-16,-12,-35,-39
+ (Inc) Dec in Inventories,0,0,0,0,0,0,0,0
+ (Inc) Dec in Prepaid Assets,-5,1,-7,1,-8,-7,-12,-11
+ Inc (Dec) in Accts Payable,4,10,-17,-14,-7,-5,10,8
+ Inc (Dec) in Other,-31,-55,-18,-32,-30,-137,-4,1
+ Net Cash From Disc Ops,14,-2,-1,-1,0,0,0,0
Cash from Operating Activities,-18,-75,-40,10,51,-30,49,133
+ Change in Fixed & Intang,0,0,0,0,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0,0,0,0,0
+ Acq of Fixed & Intang,-34,-33,-51,-40,-55,-60,-64,-94
+ Acq of Fixed Prod Assets,-9,-7,-18,-8,-16,-18,-64,-94
+ Acq of Intangible Assets,-25,-25,-33,-32,-39,-42,0,0
+ Net Change in LT Investment,-54,-22,12,-11,-34,157,-276,-248
+ Dec in LT Investment,557,678,610,844,375,369,488,405
+ Inc in LT Investment,-611,-700,-598,-855,-408,-212,-764,-653
+ Net Cash From Acq & Div,0,0,0,0,-30,-58,-409,0
+ Cash from Divestitures,0,0,0,0,0,0,0,0
+ Cash for Acq of Subs,0,0,0,0,-30,-58,-409,0
+ Cash for JVs,0,0,0,0,0,0,0,0
+ Other Investing Activities,412,818,-368,0,0,0,38,0
+ Net Cash From Disc Ops,7,39,0,0,0,0,0,0
Cash from Investing Activities,324,763,-407,-51,-119,39,-711,-342
+ Dividends Paid,0,0,0,0,0,0,0,0
+ Net Cash From Debt,-7,-12,-26,-454,-7,285,554,-8
+ Cash From Debt,0,0,0,680,0,590,857,0
+ Repayments of Debt,-7,-12,-26,-1134,-7,-305,-303,-8
+ Cash (Repurchase) of Equity,0,75,77,595,0,0,0,0
+ Increase in Capital Stock,0,75,78,595,0,0,0,0
+ Decrease in Capital Stock,0,0,-2,0,0,0,0,0
+ Other Financing Activities,-361,-694,356,-1393,617,280,-146,879
+ Net Cash From Disc Ops,0,0,0,0,0,0,0,0
Cash from Financing Activities,-368,-631,407,-1252,610,565,408,870
Effect of Foreign Exchange Rates,-10,1,9,-13,11,-4,-21,-8
Net Changes in Cash,-63,57,-40,-1293,541,574,-255,660
EBITDA,91,49,98,113,129,60,42,63
EBITDA Margin (%),13.16,7.86,13.04,15.22,15.70,7.07,4.10,5.07
Net Cash Paid for Acquisitions,0,0,0,0,30,58,410,0
Free Cash Flow,-53,-108,-91,-31,-5,-90,-15,38
Free Cash Flow to Firm,0,0,0,0,0,0,0,0
Free Cash Flow to Equity,0,56,-83,-646,27,237,539,30
Free Cash Flow per Basic Share,-0.81,-1.66,-1.39,-0.27,-0.03,-0.61,-0.10,0.25
Price/Free Cash Flow,0,0,0,77.95,95.62,522.64,139.95,43.20
Cash Flow to Net Income,0.17,0.81,4.33,-0.16,0.64,7.55,-0.65,-1.81
