,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.50,0.41,0.43,0.22,0.17,0.38,0.22,0.25,0.21,0.52
Current Ratio,1.52,1.32,1.34,0.93,1.03,1.25,1.07,1.18,1.26,1.47
Quick Ratio,1.16,0.94,0.91,0.66,0.73,0.93,0.72,0.77,0.90,1.12
CFO/Avg Current Liab,1.04,0.97,0.67,0.44,0.69,1.11,1.02,0.44,1.19,1.63
Common Equity/Total Assets,69.17,70.23,68.92,67.24,69.32,72.01,74.45,67.65,69.88,74.45
Long-Term Debt/Equity (%),13.45,15.50,22.04,24.24,22.66,18.46,16.43,32.48,22.37,13.34
Long-Term Debt/Capital (%),10.17,11.13,15.08,15.88,15.55,13.16,11.57,20.60,15.59,9.89
Long-Term Debt/Total Assets (%),7.90,9.03,12.65,13.57,13.23,11.32,9.98,17.84,12.99,8.29
Total Debt/Equity (%),13.70,17.94,25.27,31.69,26.17,22.14,18.70,33.65,22.56,14.56
Total Debt/Capital (%),10.36,12.89,17.29,20.76,17.95,15.78,13.17,21.35,15.71,10.80
Total Debt/Total Assets (%),8.05,10.46,14.50,17.74,15.27,13.57,11.36,18.48,13.10,9.06
CFO/Total Liabilities,33.45,28.36,17.16,11.22,19.41,88.80,29.29,9.81,29.06,19.25
CFO/CapEx,0.92,0.89,0.66,0.71,1.53,2.22,1.93,1.19,3.62,4.14
Altman's Z-Score,3.67,3.20,2.36,2.46,2.91,5.48,3.11,2.19,3.25,3.38
