,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,237727,212607,169623,222630,238450,206743,225578,164276,226617,343762
- Cash & Cash Equivalents,16245,12785,11022,6988,4813,9342,5686,5596,5640,17678
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,1314,1163,1170,1166,1195,1088,995,1038,873,960
+ Total Debt,20431,27818,38592,46126,38763,34459,26973,44315,31369,23339
Enterprise Value,242956,228373,198053,262921,273586,231945,247797,204002,253184,350160
Total Capital,197254,215800,223172,222170,215896,218366,204745,207562,199620,216155
Total Debt/Capital (%),10.36,12.89,17.29,20.76,17.95,15.78,13.17,21.35,15.71,10.80
Total Debt / EV,0.08,0.12,0.19,0.18,0.14,0.15,0.11,0.22,0.12,0.07
EV/Sales,1.10,1.14,1.52,2.39,2.03,1.46,1.77,2.16,1.63,1.49
EV/EBITDA,5.77,6.11,10.09,19.15,12.42,6.85,8.58,16.29,7.58,6.26
EV/EBIT,8.93,11.58,0,0,110.32,16.06,0,0,16.34,8.83
EV/Cash Flow to Firm,6.94,7.26,10.18,20.40,13.14,7.45,8.94,18.35,8.52,7.01
EV/Free Cash Flow to Firm,3.33,3.41,4.05,8.48,7.99,5.16,5.92,10.18,6.70,5.65
Diluted Market Cap,240061,213099,168919,220452,237611,207956,227131,163834,225498,348260
Diluted Enterprise Value,245561,229295,197659,260756,272756,234161,249413,203591,252100,354881
EV per Share,126.96,121.50,105.19,139.00,143.64,121.89,131.66,105.96,131.20,182.83
TTM Sales,220156,200494,129925,110215,134674,158902,139865,94471,155606,235717
TTM EBITDA,42082,37394,19636,13730,22027,33846,28883,12523,33392,55955
TTM Operating Income,27213,19726,-3710,-6216,2480,14446,-317,-6977,15492,39655
TTM Cash Flow to Firm,35002,31475,19456,12886,20824,31140,27710,11120,29716,49970
TTM Free Cash Flow to Firm,72987,66882,48960,30995,34228,44932,41826,20042,37772,61944
