,2020,2021,2022,2023
Sales/Revenue/Turnover,72148,89597,96250,97059
+ Sales & Services Revenue,72148,89597,96250,97059
- Cost of Revenue,49205,60025,64194,64802
+ Cost of Goods & Services,49205,60025,64194,64802
Gross Profit,22943,29572,32056,32257
+ Other Operating Income,0,0,0,0
- Operating Expenses,16629,19925,19963,22098
"+ Selling, General & Admin",15367,18526,18301,20332
+ Research & Development,0,0,0,0
+ Other Operating Expense,1262,1399,1662,1766
Operating Income (Loss),6314,9647,12093,10159
- Non-Operating (Income) Loss,691,1908,885,1123
"+ Interest Expense, Net",664,824,885,1123
+ Interest Expense,691,848,897,1160
- Interest Income,27,24,12,37
+ Other Non-Op (Income) Loss,27,1084,0,0
Pretax Income,5623,7739,11208,9036
- Income Tax Expense (Benefit),1342,1904,2766,2599
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,4281,5835,8442,6437
- Net Extraordinary Losses (Gains),0,0,0,0
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,0,0,0,0
Income (Loss) Incl. MI,4281,5835,8442,6437
- Minority Interest,0,0,0,0
"Net Income, GAAP",4281,5835,8442,6437
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",4281,5835,8442,6437
Basic Weighted Avg Shares,777,748,696,629
"Basic EPS, GAAP",5.51,7.80,12.13,10.23
Basic EPS from Cont Ops,5.51,7.80,12.13,10.23
Diluted Weighted Avg Shares,778,750,699,631
"Diluted EPS, GAAP",5.50,7.78,12.08,10.20
Diluted EPS from Cont Ops,5.50,7.78,12.08,10.20
EBITDA,7724,11241,13975,12140
EBITDA Margin (%),10.71,12.55,14.52,12.51
EBITA,6314,9647,12093,10159
EBIT,6314,9647,12093,10159
Gross Margin (%),31.80,33.01,33.30,33.23
Operating Margin (%),8.75,10.77,12.56,10.47
Profit Margin (%),5.93,6.51,8.77,6.63
Sales per Employee,225463,263521,283088,0
Dividend per Share,2.08,2.28,2.85,3.77
Depreciation Expense,1410,1594,1882,1981
