,2020,2021,2022,2023
+ Net Income,4281,5835,8442,6437
+ Depreciation & Amortization,1410,1594,1882,1981
+ Non-Cash Items,872,1725,916,3053
+ Stock-Based Compensation,98,155,230,223
+ Deferred Income Taxes,177,-108,135,-239
+ Asset Impairment Charge,0,139,34,2118
+ Other Non-Cash Adj,597,1539,517,951
+ Chg in Non-Cash Work Cap,-2267,1895,-1127,-2882
+ (Inc) Dec in Accts Receiv,0,0,0,0
+ (Inc) Dec in Inventories,-600,-2967,-1413,-2594
+ (Inc) Dec in Prepaid Assets,0,0,0,0
+ Inc (Dec) in Accts Payable,-637,3211,466,-549
+ Inc (Dec) in Other,-1030,1651,-180,261
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,4296,11049,10113,8589
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,163,90,113,45
+ Disp of Fixed Prod Assets,163,90,113,45
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,-1484,-1791,-1853,-1829
+ Acq of Fixed Prod Assets,-1484,-1791,-1853,-1829
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,-48,-168,228,-15
+ Dec in LT Investment,695,2926,3293,1174
+ Inc in LT Investment,-743,-3094,-3065,-1189
+ Net Cash From Acq & Div,0,0,0,491
+ Cash from Divestitures,0,0,0,491
+ Cash for Acq of Subs,0,0,0,0
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,0,-25,-134,-1
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,-1369,-1894,-1646,-1309
+ Dividends Paid,-1618,-1704,-1984,-2370
+ Net Cash From Debt,2859,2311,2854,8800
+ Cash From Debt,3972,7929,4972,9667
+ Repayments of Debt,-1113,-5618,-2118,-867
+ Cash (Repurchase) of Equity,-4313,-4971,-13012,-14124
+ Increase in Capital Stock,0,0,0,0
+ Decrease in Capital Stock,-4313,-4971,-13012,-14124
+ Other Financing Activities,337,-827,126,645
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,-2735,-5191,-12016,-7049
Effect of Foreign Exchange Rates,1,10,-8,-16
Net Changes in Cash,192,3964,-3549,231
EBITDA,7724,11241,13975,12140
EBITDA Margin (%),10.71,12.55,14.52,12.51
Net Cash Paid for Acquisitions,0,0,0,-491
Free Cash Flow,2812,9258,8260,6760
Free Cash Flow to Firm,3338,9897,8936,7586
Free Cash Flow to Equity,0,11659,11227,15605
Free Cash Flow per Basic Share,3.62,12.38,11.87,10.75
Price/Free Cash Flow,15.65,9.75,13.86,12.61
Cash Flow to Net Income,1.00,1.89,1.20,1.33
