,2020,2021,2022,2023
Total Current Assets,15318,22326,20060,21442
"+ Cash, Cash Equivalents & STI",876,5196,1404,1732
+ Cash & Cash Equivalents,716,4690,1133,1348
+ ST Investments,160,506,271,384
+ Accounts & Notes Receiv,0,0,0,0
"+ Accounts Receivable, Net",0,0,0,0
"+ Notes Receivable, Net",0,0,0,0
"+ Loans Receivable, Net",0,0,0,0
"+ Other Receivable, Net",0,0,0,0
+ Inventories,13179,16193,17605,18532
+ Raw Materials,0,0,0,0
+ Work In Process,0,0,0,0
+ Finished Goods,13179,16193,17605,18532
+ Inventory Adjustments,0,0,0,0
+ Other Inventory,0,0,0,0
+ Other ST Assets,1263,937,1051,1178
+ Prepaid Expenses,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0
+ Misc ST Assets,0,0,0,0
Total Noncurrent Assets,24153,24409,24580,22266
"+ Property, Plant & Equip, Net",5284,5440,5291,3741
"+ Property, Plant & Equip",22560,22987,23179,21085
- Accumulated Depreciation,17276,17547,17888,17344
+ LT Investments & Receivables,372,200,199,121
+ LT Investments,372,200,199,121
+ LT Receivables,0,0,0,0
+ Other LT Assets,18497,18769,19090,18404
+ Total Intangible Assets,303,311,833,0
+ Goodwill,303,311,311,0
+ Other Intangible Assets,0,0,522,0
+ LT Deferred Tax Assets,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0
+ Misc LT Assets,18194,18458,18257,18404
Total Assets,39471,46735,44640,43708
+ Payables & Accruals,7659,10884,11354,11705
+ Accounts Payable,7659,10884,11354,10524
+ Accrued Taxes,257,544,480,1181
+ Interest & Dividends Payable,0,0,0,0
+ Other Payables & Accruals,-257,-544,-480,0
+ ST Debt,3039,1653,1504,1606
+ ST Borrowings,2538,1112,868,1084
+ ST Finance Leases,501,541,636,522
+ Other ST Liabilities,4484,6193,6810,6200
+ Deferred Revenue,1219,1608,1914,1603
+ Derivatives & Hedging,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Misc ST Liabilities,3265,4585,4896,4597
Total Current Liabilities,15182,18730,19668,19511
+ LT Debt,20711,24558,27880,36388
+ LT Borrowings,16768,20668,23859,32876
+ LT Finance Leases,3943,3890,4021,3512
+ Other LT Liabilities,1606,2010,1908,2063
+ Accrued Liabilities,894,1019,1127,1201
+ Pension Liabilities,0,0,0,0
+ Deferred Revenue,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Derivatives & Hedging,0,0,0,0
+ Misc LT Liabilities,712,991,781,862
Total Noncurrent Liabilities,22317,26568,29788,38451
Total Liabilities,37499,45298,49456,57962
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Share Capital & APIC,381,456,335,301
+ Common Stock,381,366,335,301
+ Additional Paid in Capital,0,90,0,0
- Treasury Stock,0,0,0,0
+ Retained Earnings,1727,1117,-5115,-14862
+ Other Equity,-136,-136,-36,307
Equity Before Minority Interest,1972,1437,-4816,-14254
+ Minority/Non Controlling Interest,0,0,0,0
Total Equity,1972,1437,-4816,-14254
Total Liabilities & Equity,39471,46735,44640,43708
Shares Outstanding,763,731,670,601
Capital Leases - Total,4444,4431,4657,4034
Net Debt,18590,17090,23594,32612
Net Debt to Equity,942.70,1189.28,-489.91,-228.79
Tangible Common Equity Ratio,4,2,-13,-33
Current Ratio,1.01,1.19,1.02,1.10
Cash Conversion Cycle,0,35.62,34.23,41.03
Number of Employees,320000,340000,340000,0
