,2014,2015,2016,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,12542,12413,12394,12960,14014,14192,5259,4972,5663
+ Sales & Services Revenue,12542,12413,12394,12960,14014,14192,5259,4972,5663
- Cost of Revenue,10349,10104,9806,10357,11397,11227,3878,3596,4103
+ Cost of Goods & Services,10349,10104,9806,10357,11397,11227,3878,3596,4103
Gross Profit,2193,2309,2588,2603,2617,2965,1381,1376,1560
+ Other Operating Income,0,0,0,0,0,0,0,0,0
- Operating Expenses,1329,1442,1614,1393,1283,1310,573,538,585
"+ Selling, General & Admin",770,765,947,731,604,704,277,251,288
+ Research & Development,123,169,132,111,103,70,17,17,32
+ Other Operating Expense,436,508,535,551,576,536,279,270,265
Operating Income (Loss),864,867,974,1210,1334,1655,808,838,975
- Non-Operating (Income) Loss,751,684,561,740,466,1080,637,514,369
"+ Interest Expense, Net",423,457,483,477,355,313,376,257,223
+ Interest Expense,442,473,499,496,378,338,381,259,229
- Interest Income,19,16,16,19,23,25,5,2,6
+ Other Non-Op (Income) Loss,328,227,78,263,111,767,261,257,146
Pretax Income,113,183,413,470,868,575,171,324,606
- Income Tax Expense (Benefit),174,339,1465,544,226,105,-40,66,137
- (Income) Loss from Affiliates,0,0,0,0,0,0,0,0,0
Income (Loss) from Cont Ops,-61,-156,-1052,-74,642,470,211,258,469
- Net Extraordinary Losses (Gains),-420,291,-58,0,0,0,-50,0,0
+ Discontinued Operations,238,-41,184,0,333,344,50,0,0
+ Extraord. & Accounting Changes,-658,332,-242,0,-333,-344,-100,0,0
Income (Loss) Incl. MI,359,-447,-994,-74,642,470,261,258,469
- Minority Interest,91,-125,-63,0,0,0,0,0,0
"Net Income, GAAP",268,-322,-931,-74,642,470,261,258,469
- Preferred Dividends,21,69,69,53,2,2,2,2,2
- Other Adjustments,0,0,0,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",247,-391,-1000,-127,640,468,259,256,467
Basic Weighted Avg Shares,438,438,438,451,483,446,435,430,416
"Basic EPS, GAAP",0.56,-0.89,-2.28,-0.28,1.33,1.05,0.60,0.60,1.12
Basic EPS from Cont Ops,-0.14,-0.36,-2.40,-0.16,1.33,1.05,0.49,0.60,1.13
Diluted Weighted Avg Shares,443,443,438,451,503,463,439,435,421
"Diluted EPS, GAAP",0.56,-0.88,-2.28,-0.28,1.27,1.01,0.59,0.59,1.11
Diluted EPS from Cont Ops,-0.14,-0.35,-2.40,-0.16,1.28,1.02,0.48,0.59,1.11
EBITDA,2236,2147,2106,1761,1910,2191,1146,1108,1240
EBITDA Margin (%),17.83,17.30,16.99,13.59,13.63,15.44,21.79,22.28,21.90
EBITA,864,867,1571,1210,1334,1655,808,838,975
EBIT,864,867,974,1210,1334,1655,808,838,975
Gross Margin (%),17.49,18.60,20.88,20.08,18.67,20.89,26.26,27.67,27.55
Operating Margin (%),6.89,6.98,7.86,9.34,9.52,11.66,15.36,16.85,17.22
Profit Margin (%),2.14,-2.59,-7.51,-0.57,4.58,3.31,4.96,5.19,8.28
Sales per Employee,0,0,298651,312289,325907,340336,266954,249849,264626
Dividend per Share,0.37,0.51,0.52,0.36,0.25,0.13,0.03,0.04,0.11
Depreciation Expense,1372,1280,535,551,576,536,338,270,265
