,2017,2018,2019,2020,2021,2022
Market Capitalization,0,0,0,32743,46216,34430
- Cash & Cash Equivalents,0,1129,952,3115,2987,3520
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,352,333,326,327,318
+ Total Debt,0,0,1082,11030,10223,9371
Enterprise Value,0,-777,463,40984,53779,40599
Total Capital,0,15484,16770,13008,13424,15564
Total Debt/Capital (%),0,0,6.45,84.79,76.15,60.21
Total Debt / EV,0,0,2.34,0.27,0.19,0.23
EV/Sales,0,0,0.02,2.35,2.61,1.99
EV/EBITDA,0,0,0.18,18.58,19.96,14.54
EV/EBIT,0,0,0.21,21.92,22.82,16.83
EV/Cash Flow to Firm,0,0,0.22,21.55,21.83,20.35
EV/Free Cash Flow to Firm,0,0,0.20,18.52,19.16,17.29
Diluted Market Cap,0,0,0,33210,47676,35525
Diluted Enterprise Value,0,-777,463,41451,55239,41694
EV per Share,0,0,0.53,47.23,62.31,48.64
TTM Sales,17814,18914,18608,17456,20613,20421
TTM EBITDA,2609,2837,2592,2206,2695,2793
TTM Operating Income,2237,2480,2257,1870,2357,2413
TTM Cash Flow to Firm,2189,2116,2062,1901,2463,1995
TTM Free Cash Flow to Firm,2515,2379,2305,2213,2807,2348
