,2017,2018,2019,2020,2021,2022
Price/Earnings,0,0,0,16.49,27.92,9.84
Price/Earnings Average,0,0,0,11.81,24.99,9.92
Price/Earnings High,0,0,0,18.13,30.71,13.04
Price/Earnings Low,0,0,0,5.03,17.84,7.90
Price/Book Value,0,0,0,19.82,16.08,5.86
Price/Book Value Average,0,0,0,14.19,14.39,5.90
Price/Book Value High,0,0,0,21.79,17.68,7.76
Price/Book Value Low,0,0,0,6.04,10.27,4.70
Price/Tangible Book Value,0,0,0,-7.12,-16.72,-10.62
Price/Tangible Book Value Average,0,0,0,-5.10,-14.97,-10.70
Price/Tangible Book Value High,0,0,0,-7.83,-18.39,-14.06
Price/Tangible Book Value Low,0,0,0,-2.17,-10.68,-8.52
Price/Sales,0,0,0,1.87,2.25,1.70
Price/Sales Average,0,0,0,1.34,2.02,1.72
Price/Sales High,0,0,0,2.06,2.48,2.26
Price/Sales Low,0,0,0,0.57,1.44,1.37
Price/Cash Flow,0,0,0,19.32,20.77,19.96
Price/Cash Flow Average,0,0,0,13.84,18.59,20.11
Price/Cash Flow High,0,0,0,21.24,22.84,26.44
Price/Cash Flow Low,0,0,0,5.89,13.27,16.02
Price/Free Cash Flow,0,0,0,16.57,18.47,16.95
Price/Free Cash Flow Average,0,0,0,11.87,16.53,17.07
Price/Free Cash Flow High,0,0,0,18.22,20.31,22.45
Price/Free Cash Flow Low,0,0,0,5.05,11.80,13.60
EV/Sales,0,0,0.02,2.35,2.61,1.99
EV/Sales Average,0,0,0.02,1.82,2.37,2.00
EV/Sales High,0,0,0.02,2.53,2.83,2.54
EV/Sales Low,0,0,0.02,1.04,1.80,1.65
EV/EBITDA,0,0,0.18,18.58,19.96,14.54
EV/EBITDA Average,0,-0.27,0.18,14.36,18.16,14.63
EV/EBITDA High,0,-0.27,0.18,20.05,21.67,18.54
EV/EBITDA Low,0,-0.27,0.18,8.26,13.76,12.10
EV/EBIT,0,0,0.21,21.92,22.82,16.83
EV/EBIT Average,0,-0.31,0.21,16.94,20.76,16.93
EV/EBIT High,0,-0.31,0.21,23.66,24.77,21.46
EV/EBIT Low,0,-0.31,0.21,9.74,15.74,14.01
Last Price,0,0,0,37.73,53.55,41.25
High Price,0,0,0,41.48,58.89,54.64
Low Price,0,0,0,11.50,34.21,33.10
Enterprise Value,0,-777,463,40984,53779,40599
Enterprise Value Average,0,-777,463,31686,48930,40853
Enterprise Value High,0,-777,463,44239,58387,51775
Enterprise Value Low,0,-777,463,18221,37088,33796
