,2017,2018,2019,2020,2021,2022
Cash Ratio,0,0.25,0.21,0.61,0.45,0.58
Current Ratio,0,1.37,1.33,1.67,1.72,1.64
Quick Ratio,0,0.98,0.96,1.28,0.89,1.14
CFO/Avg Current Liab,0,0.92,0.45,0.35,0.38,0.28
Common Equity/Total Assets,0,69.61,68.53,6.58,10.98,22.52
Long-Term Debt/Equity (%),0,0,4.72,162.33,141.53,114.30
Long-Term Debt/Capital (%),0,0,4.07,82.09,74.79,59.31
Long-Term Debt/Total Assets (%),0,0,3.04,42.55,38.36,35.39
Total Debt/Equity (%),0,0,7.50,167.68,144.11,116.04
Total Debt/Capital (%),0,0,6.45,84.79,76.15,60.21
Total Debt/Total Assets (%),0,0,4.83,43.96,39.06,35.92
CFO/Total Liabilities,0,27.52,25.12,9.14,11.73,9.68
CFO/CapEx,6.44,7.81,8.24,5.42,6.50,4.94
Altman's Z-Score,0,2.72,2.43,3.22,3.79,3.94
