,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Total Current Assets,2680,3550,4347,5997,9290,10683,15963,21889,22850,26395
"+ Cash, Cash Equivalents & STI",839,995,1341,2209,4522,4342,7947,11966,10537,12508
+ Cash & Cash Equivalents,782,908,1158,1607,2543,2669,4145,6195,5464,7016
+ ST Investments,57,87,183,602,1978,1673,3802,5771,5073,5492
+ Accounts & Notes Receiv,1361,1906,2524,3231,3950,4924,6174,7786,9739,10755
"+ Accounts Receivable, Net",1361,1906,2496,3197,3917,4924,6174,7786,9739,10755
"+ Notes Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Loans Receivable, Net",0,0,0,0,0,0,0,0,0,0
"+ Other Receivable, Net",0,0,27,34,33,0,0,0,0,0
+ Inventories,0,0,0,0,0,0,0,0,0,0
+ Raw Materials,0,0,0,0,0,0,0,0,0,0
+ Work In Process,0,0,0,0,0,0,0,0,0,0
+ Finished Goods,0,0,0,0,0,0,0,0,0,0
+ Inventory Adjustments,0,0,0,0,0,0,0,0,0,0
+ Other Inventory,0,0,0,0,0,0,0,0,0,0
+ Other ST Assets,481,649,482,557,819,1417,1842,2137,2574,3132
+ Prepaid Expenses,0,0,0,0,0,0,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0,0,0,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ Misc ST Assets,0,0,0,0,0,0,0,0,0,0
Total Noncurrent Assets,6473,7143,8416,11588,11719,20054,39163,44412,72359,72454
"+ Property, Plant & Equip, Net",1241,1126,1716,1788,1947,2051,3614,3708,3294,3890
"+ Property, Plant & Equip",1625,1746,2636,2986,3403,3834,5415,5663,5695,6592
- Accumulated Depreciation,384,620,920,1198,1456,1783,1801,1955,2401,2702
+ LT Investments & Receivables,575,1071,1905,567,677,1302,1963,3909,4784,4672
+ LT Investments,575,1071,1905,567,677,1302,1963,3909,4784,4672
+ LT Receivables,0,0,0,0,0,0,0,0,0,0
+ Other LT Assets,4657,4946,4795,9234,9096,16701,33586,36795,64281,63892
+ Total Intangible Assets,4411,4562,4503,8558,8309,14926,30437,30432,56915,55693
+ Goodwill,3501,3783,3850,7264,7314,12851,25134,26318,47937,48568
+ Other Intangible Assets,910,779,653,1294,995,2075,5303,4114,8978,7125
+ LT Deferred Tax Assets,0,0,0,0,0,0,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0,0,0,0,0,0,0
+ Misc LT Assets,246,385,292,676,786,1775,3149,6363,7366,8199
Total Assets,9153,10693,12763,17585,21010,30737,55126,66301,95209,98849
+ Payables & Accruals,483,633,773,934,382,1521,3433,4355,5474,6743
+ Accounts Payable,65,96,71,115,76,165,3433,4355,0,0
+ Accrued Taxes,153,185,206,240,306,0,0,0,0,0
+ Interest & Dividends Payable,0,0,0,0,0,0,0,0,0,0
+ Other Payables & Accruals,265,353,496,579,0,1356,0,0,5474,6743
+ ST Debt,572,0,15,20,1127,3,750,766,686,1772
+ ST Borrowings,572,0,0,0,1025,3,0,0,4,1182
+ ST Finance Leases,0,0,15,20,103,0,750,766,686,590
+ Other ST Liabilities,2925,3757,4829,6304,8620,9731,10662,12607,15628,17376
+ Deferred Revenue,2474,3287,4268,5506,7095,8564,10662,12607,15628,17376
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Misc ST Liabilities,451,470,561,799,1525,1167,0,0,0,0
Total Current Liabilities,3980,4390,5617,7258,10130,11255,14845,17728,21788,25891
+ LT Debt,1936,2198,2033,2690,1372,3173,5118,5515,13295,12316
+ LT Borrowings,1302,1371,1286,2008,695,3173,2673,2673,10592,9419
+ LT Finance Leases,634,827,747,682,677,0,2445,2842,2703,2897
+ Other LT Liabilities,171,130,110,136,116,704,1278,1565,1995,2283
+ Accrued Liabilities,157,129,110,136,116,0,0,0,0,0
+ Pension Liabilities,0,0,0,0,0,0,0,0,0,0
+ Deferred Revenue,0,0,0,0,0,0,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0,0,0,0,0,0,0
+ Derivatives & Hedging,0,0,0,0,0,0,0,0,0,0
+ Misc LT Liabilities,14,1,0,0,0,704,1278,1565,1995,2283
Total Noncurrent Liabilities,2108,2328,2143,2826,1488,3877,6396,7080,15290,14599
Total Liabilities,6088,6718,7760,10085,11617,15132,21241,24808,37078,40490
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Share Capital & APIC,3364,4605,5706,8041,9753,13928,32117,35602,50920,55048
+ Common Stock,1,1,1,1,1,1,1,1,1,1
+ Additional Paid in Capital,3363,4604,5705,8040,9752,13927,32116,35601,50919,55047
- Treasury Stock,0,0,0,0,0,0,0,0,0,4000
+ Retained Earnings,-343,-606,-653,-465,-337,1735,1861,5933,7377,7585
+ Other Equity,18,-24,-50,-76,-27,-58,-93,-42,-166,-274
Equity Before Minority Interest,3065,3975,5003,7500,9392,15605,33885,41493,58131,58359
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
Total Equity,3065,3975,5003,7500,9392,15605,33885,41493,58131,58359
Total Liabilities & Equity,9153,10693,12763,17585,21010,30737,55126,66301,95209,98849
Shares Outstanding,610,651,671,708,730,770,893,919,989,981
Capital Leases - Total,634,827,762,701,780,0,3195,3608,3389,3487
Net Debt,1092,463,128,402,-824,507,-1472,-3522,5132,3585
Net Debt to Equity,35.64,11.64,2.55,5.36,-8.77,3.25,-4.34,-8.49,8.83,6.14
Tangible Common Equity Ratio,-28,-10,6,-12,9,4,14,31,3,6
Current Ratio,0.67,0.81,0.77,0.83,0.92,0.95,1.08,1.23,1.05,1.02
Cash Conversion Cycle,85.14,88.21,102.06,108.55,111.27,108.71,-36.59,-141.49,7.61,119.30
Number of Employees,13300,16000,19000,25000,29000,35000,49000,56606,73541,79390
