,2019,2020,2021,2022
Sales/Revenue/Turnover,1492,1652,2080,3344
+ Sales & Services Revenue,1492,1652,2080,3344
- Cost of Revenue,89,105,134,226
+ Cost of Goods & Services,89,105,134,226
Gross Profit,1403,1547,1947,3117
+ Other Operating Income,0,0,0,0
- Operating Expenses,660,750,995,1809
"+ Selling, General & Admin",66,73,97,138
+ Research & Development,0,0,0,0
+ Other Operating Expense,594,677,898,1670
Operating Income (Loss),743,797,952,1309
- Non-Operating (Income) Loss,299,386,560,391
"+ Interest Expense, Net",289,306,310,445
+ Interest Expense,291,309,324,445
- Interest Income,2,3,14,0
+ Other Non-Op (Income) Loss,10,79,250,-55
Pretax Income,444,411,392,918
- Income Tax Expense (Benefit),6,15,32,45
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,437,397,361,872
- Net Extraordinary Losses (Gains),2,2,3,6
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,2,2,3,6
Income (Loss) Incl. MI,435,394,358,866
- Minority Interest,-1,-1,-1,-3
"Net Income, GAAP",436,395,359,869
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",436,395,359,869
Basic Weighted Avg Shares,316,344,415,612
"Basic EPS, GAAP",1.38,1.15,0.87,1.42
Basic EPS from Cont Ops,1.39,1.15,0.87,1.43
Diluted Weighted Avg Shares,316,345,415,612
"Diluted EPS, GAAP",1.38,1.14,0.87,1.42
Diluted EPS from Cont Ops,1.38,1.15,0.87,1.43
EBITDA,1337,1474,1850,2979
EBITDA Margin (%),89.60,89.23,88.92,89.09
EBITA,743,797,952,1309
EBIT,743,797,952,1309
Gross Margin (%),94.06,93.67,93.58,93.23
Operating Margin (%),49.78,48.24,45.76,39.13
Profit Margin (%),29.26,23.95,17.28,26.00
Sales per Employee,7688613,7864881,5607717,8465015
Dividend per Share,2.70,2.80,2.82,2.96
Depreciation Expense,594,677,898,1670
