,2019,2020,2021,2022
Total Current Assets,333,1129,716,769
"+ Cash, Cash Equivalents & STI",54,824,259,171
+ Cash & Cash Equivalents,54,824,259,171
+ ST Investments,0,0,0,0
+ Accounts & Notes Receiv,182,286,427,568
"+ Accounts Receivable, Net",182,286,427,568
"+ Notes Receivable, Net",0,0,4,0
"+ Loans Receivable, Net",0,0,0,0
"+ Other Receivable, Net",0,0,-4,0
+ Inventories,0,0,0,30
+ Raw Materials,0,0,0,0
+ Work In Process,0,0,0,0
+ Finished Goods,0,0,0,30
+ Inventory Adjustments,0,0,0,0
+ Other Inventory,0,0,0,0
+ Other ST Assets,97,19,30,0
+ Prepaid Expenses,0,0,0,0
+ ST Derivative & Hedging Assets,0,0,0,0
+ ST Assets Held-for-Sale,0,0,0,0
+ ST Deferred Tax Assets,0,0,0,0
+ Misc ST Assets,0,0,0,0
Total Noncurrent Assets,18222,19611,42422,48904
"+ Property, Plant & Equip, Net",157,231,850,1071
"+ Property, Plant & Equip",157,231,850,1071
- Accumulated Depreciation,0,0,0,0
+ LT Investments & Receivables,0,0,141,6
+ LT Investments,0,0,141,6
+ LT Receivables,0,0,0,0
+ Other LT Assets,18065,19380,41431,47828
+ Total Intangible Assets,1493,1711,8952,8900
+ Goodwill,14,14,3677,3731
+ Other Intangible Assets,1479,1696,5275,5168
+ LT Deferred Tax Assets,0,0,0,0
+ LT Derivative & Hedging Assets,0,0,0,0
+ Misc LT Assets,16571,17670,32479,38928
Total Assets,18555,20740,43138,49673
+ Payables & Accruals,254,327,498,565
+ Accounts Payable,177,241,351,399
+ Accrued Taxes,32,37,67,92
+ Interest & Dividends Payable,0,0,0,0
+ Other Payables & Accruals,45,49,80,74
+ ST Debt,704,0,1551,2729
+ ST Borrowings,704,0,1551,2729
+ ST Finance Leases,0,0,0,0
+ Other ST Liabilities,0,0,0,0
+ Deferred Revenue,128,130,242,270
+ Derivatives & Hedging,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Misc ST Liabilities,-128,-130,-242,-270
Total Current Liabilities,958,327,2049,3294
+ LT Debt,7197,8817,13891,15382
+ LT Borrowings,7197,8817,13891,15382
+ LT Finance Leases,333,321,1308,1379
+ Other LT Liabilities,595,578,2067,2154
+ Accrued Liabilities,128,0,0,0
+ Pension Liabilities,0,0,0,0
+ Deferred Revenue,0,0,0,0
+ Deferred Tax Liabilities,0,0,0,0
+ Derivatives & Hedging,0,0,0,0
+ Misc LT Liabilities,468,578,2067,2154
Total Noncurrent Liabilities,7793,9396,15959,17536
Total Liabilities,8751,9723,18008,20830
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Share Capital & APIC,9792,14700,29578,34160
+ Common Stock,12874,14700,29578,34160
+ Additional Paid in Capital,-3082,0,0,0
- Treasury Stock,0,0,0,0
+ Retained Earnings,-3082,-3660,-4531,-5493
+ Other Equity,-17,-55,5,47
Equity Before Minority Interest,9774,10985,25053,28713
+ Minority/Non Controlling Interest,30,32,77,130
Total Equity,9804,11018,25129,28843
Total Liabilities & Equity,18555,20740,43138,49673
Shares Outstanding,334,361,591,660
Capital Leases - Total,333,321,1308,1379
Net Debt,7848,7993,15184,17940
Net Debt to Equity,80.04,72.55,60.42,62.20
Tangible Common Equity Ratio,49,49,47,49
Current Ratio,0.35,3.45,0.35,0.23
Cash Conversion Cycle,0,-678.26,-746.79,-457.03
Number of Employees,194,210,371,395
