,2019,2020,2021,2022
Market Capitalization,49795,63658,76609,60669
- Cash & Cash Equivalents,1870,1605,1536,1906
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0
+ Total Debt,13287,13923,14993,16470
Enterprise Value,61202,75972,90065,75232
Total Capital,10510,10565,11088,12117
Total Debt/Capital (%),126.42,131.79,135.22,135.92
Total Debt / EV,0.22,0.18,0.17,0.22
EV/Sales,11.00,12.67,13.57,10.36
EV/EBITDA,24.97,29.89,32.39,25.37
EV/EBIT,52.49,68.14,80.41,61.35
EV/Cash Flow to Firm,26.11,29.21,31.90,23.04
EV/Free Cash Flow to Firm,13.84,15.56,16.16,13.57
Diluted Market Cap,49427,63141,76472,60150
Diluted Enterprise Value,60845,75459,89927,74713
EV per Share,717.42,852.33,994.41,812.26
TTM Sales,5562,5999,6636,7263
TTM EBITDA,2451,2542,2781,2966
TTM Operating Income,1166,1115,1120,1226
TTM Cash Flow to Firm,2344,2601,2823,3266
TTM Free Cash Flow to Firm,4424,4884,5575,5544
