,2019,2020,2021,2022
Cash Ratio,0.87,0.78,0.96,1.04
Current Ratio,1.33,1.28,1.84,1.80
Quick Ratio,1.19,1.11,1.38,1.50
CFO/Avg Current Liab,0,1.10,1.39,1.72
Common Equity/Total Assets,-11.59,-12.42,-13.99,-14.36
Long-Term Debt/Equity (%),139.65,126.00,134.79,140.53
Long-Term Debt/Capital (%),117.46,126.83,132.29,133.44
Long-Term Debt/Total Assets (%),51.51,49.55,52.54,53.34
Total Debt/Equity (%),150.30,130.93,137.78,143.14
Total Debt/Capital (%),126.42,131.79,135.22,135.92
Total Debt/Total Assets (%),55.44,51.49,53.70,54.34
CFO/Total Liabilities,13.17,14.08,14.95,15.76
CFO/CapEx,0.96,1.01,0.93,1.30
Altman's Z-Score,2.35,2.62,3.01,2.24
