,2019,2020,2021,2022
+ Net Income,1010,963,1397,807
+ Depreciation & Amortization,843,832,851,894
+ Non-Cash Items,-425,-455,-1018,-242
+ Stock-Based Compensation,24,23,28,30
+ Deferred Income Taxes,0,0,0,0
+ Asset Impairment Charge,6,7,23,5
+ Other Non-Cash Adj,-455,-485,-1069,-276
+ Chg in Non-Cash Work Cap,30,-74,30,-5
+ (Inc) Dec in Accts Receiv,0,0,0,0
+ (Inc) Dec in Inventories,0,0,0,0
+ (Inc) Dec in Prepaid Assets,3,-10,6,3
+ Inc (Dec) in Accts Payable,9,0,19,-3
+ Inc (Dec) in Other,17,-64,5,-4
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,1457,1266,1260,1455
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,-5,-20,-2,-4
+ Acq of Fixed Prod Assets,-5,-20,-2,-4
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,0,-1,23,2
+ Dec in LT Investment,0,0,191,4
+ Inc in LT Investment,0,-1,-168,-2
+ Net Cash From Acq & Div,-10,-6,-80,-160
+ Cash from Divestitures,0,0,0,0
+ Cash for Acq of Subs,-10,-6,-80,-160
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,-757,690,-376,270
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,-772,664,-435,108
+ Dividends Paid,-834,-887,-904,-934
+ Net Cash From Debt,174,-1002,291,-929
+ Cash From Debt,23445,9840,8156,6084
+ Repayments of Debt,-23271,-10842,-7865,-7013
+ Cash (Repurchase) of Equity,0,0,0,140
+ Increase in Capital Stock,0,0,0,140
+ Decrease in Capital Stock,0,0,0,0
+ Other Financing Activities,-25,-57,47,-62
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,-684,-1946,-565,-1786
Effect of Foreign Exchange Rates,0,0,0,0
Net Changes in Cash,1,-17,261,-223
EBITDA,1752,1619,1472,1706
EBITDA Margin (%),64.85,62.94,59.73,62.37
Net Cash Paid for Acquisitions,10,6,80,160
Free Cash Flow,1452,1245,1258,1451
Free Cash Flow to Firm,0,1610,1531,1733
Free Cash Flow to Equity,0,240,1547,518
Free Cash Flow per Basic Share,3.92,3.35,3.37,3.86
Price/Free Cash Flow,21.38,0,0,15.75
Cash Flow to Net Income,1.50,1.39,0.95,1.87
