,2019,2020,2021,2022
Sales/Revenue/Turnover,2701,2572,2464,2735
+ Sales & Services Revenue,2701,2572,2464,2735
- Cost of Revenue,908,916,949,983
+ Cost of Goods & Services,908,916,949,983
Gross Profit,1793,1655,1515,1753
+ Other Operating Income,0,0,0,0
- Operating Expenses,884,869,895,941
"+ Selling, General & Admin",53,48,57,59
+ Research & Development,0,0,0,0
+ Other Operating Expense,831,821,838,882
Operating Income (Loss),909,786,620,812
- Non-Operating (Income) Loss,-31,-146,-781,-1
"+ Interest Expense, Net",387,359,247,281
+ Interest Expense,390,365,272,283
- Interest Income,3,6,26,2
+ Other Non-Op (Income) Loss,-418,-505,-1027,-282
Pretax Income,939,932,1401,813
- Income Tax Expense (Benefit),-2,1,1,1
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,1008,928,1397,807
- Net Extraordinary Losses (Gains),77,63,128,60
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,77,63,128,60
Income (Loss) Incl. MI,931,865,1269,747
- Minority Interest,-39,-49,-64,-30
"Net Income, GAAP",970,914,1333,777
- Preferred Dividends,3,3,3,3
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",967,911,1330,774
Basic Weighted Avg Shares,370,372,374,376
"Basic EPS, GAAP",2.61,2.45,3.56,2.06
Basic EPS from Cont Ops,2.72,2.50,3.74,2.15
Diluted Weighted Avg Shares,386,386,388,389
"Diluted EPS, GAAP",2.50,2.36,3.43,1.99
Diluted EPS from Cont Ops,2.61,2.41,3.60,2.07
EBITDA,1752,1619,1472,1706
EBITDA Margin (%),64.85,62.94,59.73,62.37
EBITA,921,798,634,824
EBIT,909,786,620,812
Gross Margin (%),66.37,64.37,61.49,64.08
Operating Margin (%),33.65,30.57,25.18,29.68
Profit Margin (%),35.93,35.53,54.09,28.40
Sales per Employee,1000398,989117,1026665,1139658
Dividend per Share,2.25,2.39,2.42,2.48
Depreciation Expense,831,821,838,882
