,2019,2020,2021,2022
Price/Earnings,109.45,83.86,100.19,47.15
Price/Earnings Average,97.04,78.14,81.24,58.76
Price/Earnings High,114.38,92.33,101.21,72.73
Price/Earnings Low,71.47,44.16,60.62,46.24
Price/Book Value,-31.27,-25.70,-34.55,-19.17
Price/Book Value Average,-27.72,-23.94,-28.01,-23.90
Price/Book Value High,-32.68,-28.29,-34.90,-29.58
Price/Book Value Low,-20.42,-13.53,-20.90,-18.81
Price/Tangible Book Value,2.03,2.03,2.84,1.80
Price/Tangible Book Value Average,1.80,1.89,2.31,2.24
Price/Tangible Book Value High,2.12,2.23,2.87,2.78
Price/Tangible Book Value Low,1.32,1.07,1.72,1.77
Price/Sales,9.02,9.03,13.12,8.08
Price/Sales Average,8.00,8.41,10.64,10.06
Price/Sales High,9.43,9.94,13.25,12.46
Price/Sales Low,5.89,4.75,7.94,7.92
Price/Cash Flow,24.05,23.62,28.86,17.66
Price/Cash Flow Average,21.32,22.00,23.40,22.00
Price/Cash Flow High,25.13,26.00,29.15,27.24
Price/Cash Flow Low,15.70,12.44,17.46,17.32
Price/Free Cash Flow,19.31,18.98,24.53,14.71
Price/Free Cash Flow Average,17.12,17.69,19.89,18.33
Price/Free Cash Flow High,20.18,20.90,24.78,22.68
Price/Free Cash Flow Low,12.61,10.00,14.84,14.42
EV/Sales,15.20,13.56,17.37,11.47
EV/Sales Average,14.16,12.93,14.79,13.46
EV/Sales High,15.61,14.49,17.51,15.86
EV/Sales Low,12.01,9.18,11.98,11.31
EV/EBITDA,27.97,24.22,30.34,19.89
EV/EBITDA Average,26.05,23.09,25.83,23.35
EV/EBITDA High,28.74,25.89,30.58,27.52
EV/EBITDA Low,22.10,16.40,20.93,19.62
EV/EBIT,63.10,52.82,62.95,39.38
EV/EBIT Average,58.77,50.37,53.60,46.22
EV/EBIT High,64.82,56.46,63.45,54.46
EV/EBIT Low,49.85,35.78,43.42,38.84
Last Price,29.97,29.70,45.34,29.64
High Price,31.32,32.70,45.80,45.72
Low Price,19.57,15.64,27.44,29.07
Enterprise Value,26822,24713,34681,25661
Enterprise Value Average,24981,23564,29528,30122
Enterprise Value High,27553,26414,34957,35492
Enterprise Value Low,21189,16739,23919,25312
