,2019,2020,2021,2022
Market Capitalization,16233,16843,27251,18122
- Cash & Cash Equivalents,92,213,610,263
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,52,51,41,32
+ Total Debt,10630,8032,7999,7769
Enterprise Value,26822,24713,34681,25661
Total Capital,10162,7427,7251,6856
Total Debt/Capital (%),104.60,108.14,110.31,113.31
Total Debt / EV,0.40,0.32,0.23,0.30
EV/Sales,15.20,13.56,17.37,11.47
EV/EBITDA,27.97,24.22,30.34,19.89
EV/EBIT,63.10,52.82,62.95,39.38
EV/Cash Flow to Firm,26.06,23.52,28.19,19.33
EV/Free Cash Flow to Firm,22.47,20.21,24.89,16.71
Diluted Market Cap,15959,16497,26261,18113
Diluted Enterprise Value,26548,24366,33691,25652
EV per Share,49.52,43.58,57.70,41.97
TTM Sales,1765,1823,1997,2238
TTM EBITDA,959,1020,1143,1290
TTM Operating Income,425,468,551,652
TTM Cash Flow to Firm,1029,1051,1230,1328
TTM Free Cash Flow to Firm,1194,1223,1393,1536
