,2019,2020,2021,2022
Cash Ratio,0.50,1.43,3.15,1.32
Current Ratio,1.54,2.76,4.23,2.29
Quick Ratio,0.63,1.67,3.34,1.60
CFO/Avg Current Liab,0,4.15,5.29,5.22
Common Equity/Total Assets,-2.98,-3.74,-4.26,-5.10
Long-Term Debt/Equity (%),102.44,93.87,81.30,75.26
Long-Term Debt/Capital (%),83.32,108.14,110.31,113.31
Long-Term Debt/Total Assets (%),48.68,45.88,43.15,41.91
Total Debt/Equity (%),128.60,93.87,81.30,75.26
Total Debt/Capital (%),104.60,108.14,110.31,113.31
Total Debt/Total Assets (%),61.12,45.88,43.15,41.91
CFO/Total Liabilities,7.25,7.78,10.43,12.46
CFO/CapEx,4.03,4.04,5.57,4.92
Altman's Z-Score,1.22,1.29,2.07,1.51
