,2017,2018,2019,2020,2021,2022
+ Net Income,1267,2769,2155,2006,1701,3584
+ Depreciation & Amortization,372,357,335,336,338,380
+ Non-Cash Items,231,-747,-68,-736,-119,-1885
+ Stock-Based Compensation,34,44,52,77,92,77
+ Deferred Income Taxes,872,133,-122,97,-74,-124
+ Asset Impairment Charge,0,0,108,72,2,0
+ Other Non-Cash Adj,-675,-924,-106,-982,-139,-1838
+ Chg in Non-Cash Work Cap,228,-324,-420,86,317,-336
+ (Inc) Dec in Accts Receiv,159,-278,-106,40,-144,-196
+ (Inc) Dec in Inventories,-102,-151,-2,-240,-408,-334
+ (Inc) Dec in Prepaid Assets,0,0,0,0,0,0
+ Inc (Dec) in Accts Payable,192,88,-311,237,829,61
+ Inc (Dec) in Other,-21,17,-1,49,40,133
+ Net Cash From Disc Ops,0,0,0,0,0,0
Cash from Operating Activities,2098,2055,2002,1692,2237,1743
+ Change in Fixed & Intang,0,0,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0,0,0
+ Acq of Fixed & Intang,-326,-263,-243,-312,-344,-353
+ Acq of Fixed Prod Assets,-326,-263,-243,-312,-344,-353
+ Acq of Intangible Assets,0,0,0,0,0,0
+ Net Change in LT Investment,0,1032,6,1417,11,-194
+ Dec in LT Investment,0,1032,6,1417,11,0
+ Inc in LT Investment,0,0,0,0,0,-194
+ Net Cash From Acq & Div,472,722,6,0,-366,2292
+ Cash from Divestitures,648,1032,6,0,0,2902
+ Cash for Acq of Subs,-176,-310,0,0,-366,-610
+ Cash for JVs,0,0,0,0,0,0
+ Other Investing Activities,125,-1076,18,1,7,0
+ Net Cash From Disc Ops,0,0,0,0,0,0
Cash from Investing Activities,271,415,-213,1106,-692,1745
+ Dividends Paid,0,0,0,-138,-417,-509
+ Net Cash From Debt,0,117,0,9873,-564,-843
+ Cash From Debt,0,117,0,11784,140,432
+ Repayments of Debt,0,0,0,-1911,-704,-1275
+ Cash (Repurchase) of Equity,0,0,0,0,-527,-1380
+ Increase in Capital Stock,0,0,0,0,0,0
+ Decrease in Capital Stock,0,0,0,0,-527,-1380
+ Other Financing Activities,-2193,-2744,-1967,-10416,-54,-199
+ Net Cash From Disc Ops,0,0,0,0,0,0
Cash from Financing Activities,-2193,-2627,-1967,-681,-1562,-2931
Effect of Foreign Exchange Rates,64,-39,1,45,-16,-56
Net Changes in Cash,176,-157,-178,2117,-17,557
EBITDA,2609,2837,2592,2206,2695,2793
EBITDA Margin (%),14.65,15.00,13.93,12.64,13.07,13.68
Net Cash Paid for Acquisitions,-472,-722,-6,0,366,-2292
Free Cash Flow,1772,1792,1759,1380,1893,1390
Free Cash Flow to Firm,1863,1853,1819,1589,2119,1642
Free Cash Flow to Equity,0,1909,1759,11253,1329,547
Free Cash Flow per Basic Share,2.05,2.07,2.03,1.59,2.18,1.65
Price/Free Cash Flow,0,0,0,16.57,18.47,16.95
Cash Flow to Net Income,1.71,0.75,0.95,0.85,1.34,0.49
