,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cash Ratio,0.66,0.63,0.51,0.92,0.87,0.75,0.94,1.15,1.71,0.22
Current Ratio,1.24,1.00,1.13,1.41,1.35,1.37,1.52,1.67,2.31,0.94
Quick Ratio,1.07,0.87,0.85,1.35,1.28,1.30,1.45,1.60,2.14,0.63
CFO/Avg Current Liab,0.27,0.38,0.06,0.53,0.69,0.71,0.97,1.07,0.97,0.53
Common Equity/Total Assets,128.63,108.67,98.35,110.99,110.74,122.41,110.14,108.97,101.90,29.46
Long-Term Debt/Equity (%),37.09,59.23,298.19,200.11,149.67,158.94,162.91,138.84,83.20,28.45
Long-Term Debt/Capital (%),8.50,8.91,27.57,24.98,20.64,21.72,23.49,21.96,19.65,34.26
Long-Term Debt/Total Assets (%),13.18,11.80,42.38,41.11,33.63,38.72,40.25,37.12,30.65,18.30
Total Debt/Equity (%),37.09,59.23,310.49,200.11,168.51,158.94,166.90,141.83,84.93,29.02
Total Debt/Capital (%),8.50,8.91,28.71,24.98,23.24,21.72,24.07,22.43,20.06,34.95
Total Debt/Total Assets (%),13.18,11.80,44.13,41.11,37.87,38.72,41.24,37.92,31.29,18.67
CFO/Total Liabilities,20.89,22.30,2.78,21.25,27.59,28.85,32.49,38.84,37.91,11.81
CFO/CapEx,6.97,13.14,1.40,12.73,16.39,18.27,24.14,46.93,102.80,29.25
Altman's Z-Score,8.91,6.17,8.30,8.90,9.48,10.89,10.36,10.59,11.98,8.11
