,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Shares Outstanding,122,119,119,121,120,121,121,122,122,123
Diluted Weighted Avg Shares,124,124,121,121,122,121,122,123,124,123
Basic Weighted Avg Shares,121,121,119,119,120,120,121,122,122,122
Revenue per Share,19.01,20.10,22.44,26.36,28.00,28.34,29.01,33.97,40.39,41.85
EBITDA per Share,6.61,6.95,7.53,9.11,9.29,6.34,0.02,8.86,13.35,13.27
Operating Income per Share,5.04,5.27,5.85,6.86,6.87,3.72,-2.77,5.57,9.34,8.63
"Basic EPS, GAAP",2.90,3.03,3.61,4.10,4.89,2.49,-3.30,4.28,6.11,5.69
Basic EPS from Cont Ops,2.82,3.09,3.66,4.15,4.98,2.54,-3.25,4.33,6.14,5.72
"Diluted EPS, GAAP",2.84,2.97,3.55,4.04,4.83,2.47,-3.27,4.24,6.02,5.65
Diluted EPS from Cont Ops,2.76,3.03,3.60,4.09,4.92,2.52,-3.22,4.29,6.06,5.68
Dividend per Share,0.88,1.00,1.16,1.32,1.56,1.56,1.56,1.56,1.56,1.56
Cash Flow per Share,4.67,5.08,6.25,6.58,6.79,5.58,2.60,7.79,10.95,6.19
Free Cash Flow per Basic Share,3.99,4.37,5.02,5.12,4.98,2.91,-0.71,4.32,7.10,1.08
Cash & Equivalents per Share,1.94,1.07,0.79,1.07,2.80,1.85,3.31,13.83,1.84,2.33
Book Value per Share,29.09,31.75,34.30,36.43,40.28,41.08,36.04,36.31,40.85,44.84
Tangible Book Value per Share,-9.21,-11.90,-9.63,-22.17,-19.04,-17.98,-23.31,-19.53,-38.08,-35.30
