,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,180878,186690,188397,177780,195403,201456,236563,234208,254231,275304
- Cash & Cash Equivalents,10414,8958,7309,8555,6006,9077,6480,6795,9684,9519
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,267,241,210,158,1905,2077,2117,1985,1861,1721
+ Total Debt,37079,41745,44116,45709,47685,44214,42763,42793,42761,39149
Enterprise Value,197956,207001,212823,201446,224318,231632,270268,268072,286228,304543
Total Capital,100766,107154,111104,113129,111780,111285,112450,113093,115476,113649
Total Debt/Capital (%),36.80,38.96,39.71,40.40,42.66,39.73,38.03,37.84,37.03,34.45
Total Debt / EV,0.19,0.20,0.21,0.23,0.21,0.19,0.16,0.16,0.15,0.13
EV/Sales,4.22,4.50,4.80,4.81,6.33,6.75,7.25,8.12,7.40,7.08
EV/EBITDA,16.22,17.72,19.89,19.35,25.60,22.62,23.60,25.45,24.34,25.03
EV/EBIT,19.35,21.32,24.38,23.35,29.91,25.31,26.80,29.80,27.77,27.92
EV/Cash Flow to Firm,18.18,18.85,19.03,21.46,30.93,27.66,24.00,24.39,20.61,25.94
EV/Free Cash Flow to Firm,14.73,15.46,15.49,17.29,25.12,23.34,20.30,22.03,18.77,23.03
Diluted Market Cap,185275,190282,191926,181056,198385,202913,238435,235344,255105,276704
Diluted Enterprise Value,212207,223310,228943,218368,241969,240127,276835,273327,290043,308055
EV per Share,44.97,47.41,49.22,46.98,52.67,54.27,63.14,62.31,66.18,70.37
TTM Sales,46854,45998,44294,41863,35410,34300,37266,33014,38655,43004
TTM EBITDA,12205,11684,10698,10413,8761,10238,11451,10533,11760,12169
TTM Operating Income,10228,9708,8728,8626,7501,9152,10086,8997,10308,10909
TTM Cash Flow to Firm,10890,10984,11184,9386,7253,8375,11259,10989,13885,11740
TTM Free Cash Flow to Firm,13440,13390,13737,11648,8928,9923,13313,12166,15252,13224
