,2019,2020,2021,2022
Price/Earnings,0,31.42,11.84,12.23
Price/Earnings Average,-259.58,24.40,10.37,14.08
Price/Earnings High,-297.18,32.52,11.98,16.98
Price/Earnings Low,-205.22,12.28,8.87,10.80
Price/Book Value,24.23,18.63,10.04,6.87
Price/Book Value Average,21.22,14.47,8.79,7.91
Price/Book Value High,24.29,19.28,10.16,9.54
Price/Book Value Low,16.78,7.28,7.53,6.07
Price/Tangible Book Value,2.75,2.87,2.86,2.11
Price/Tangible Book Value Average,2.41,2.23,2.50,2.43
Price/Tangible Book Value High,2.76,2.97,2.89,2.93
Price/Tangible Book Value Low,1.91,1.12,2.14,1.87
Price/Sales,3.44,3.33,3.03,2.26
Price/Sales Average,3.01,2.58,2.65,2.60
Price/Sales High,3.45,3.44,3.06,3.14
Price/Sales Low,2.38,1.30,2.27,1.99
Price/Cash Flow,23.32,16.38,9.77,8.12
Price/Cash Flow Average,20.42,12.72,8.56,9.34
Price/Cash Flow High,23.38,16.95,9.89,11.28
Price/Cash Flow Low,16.15,6.40,7.32,7.17
Price/Free Cash Flow,16.69,11.22,9.35,7.37
Price/Free Cash Flow Average,14.61,8.71,8.19,8.48
Price/Free Cash Flow High,16.73,11.61,9.46,10.23
Price/Free Cash Flow Low,11.55,4.38,7.01,6.50
EV/Sales,4.33,3.99,3.33,2.57
EV/Sales Average,3.96,3.25,2.96,2.91
EV/Sales High,4.40,4.10,3.37,3.44
EV/Sales Low,3.33,1.96,2.58,2.31
EV/EBITDA,24.20,15.07,8.32,7.36
EV/EBITDA Average,22.12,12.26,7.39,8.32
EV/EBITDA High,24.56,15.51,8.41,9.83
EV/EBITDA Low,18.60,7.41,6.44,6.61
EV/EBIT,42.81,19.75,9.42,8.50
EV/EBIT Average,39.14,16.07,8.36,9.61
EV/EBIT High,43.45,20.33,9.52,11.37
EV/EBIT Low,32.91,9.71,7.29,7.64
Last Price,30.20,33.53,41.18,31.00
High Price,30.28,34.71,41.68,43.04
Low Price,20.91,13.10,30.87,27.37
Enterprise Value,28384,30040,34018,26189
Enterprise Value Average,25950,24442,30190,29611
Enterprise Value High,28806,30918,34392,35011
Enterprise Value Low,21822,14771,26313,23525
