,2019,2020,2021,2022
Market Capitalization,22508,25060,30774,22717
- Cash & Cash Equivalents,139,495,1879,1581
+ Preferred Equity and Hybrid Capital,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0
+ Total Debt,6377,5475,5123,5053
Enterprise Value,28384,30040,34018,26189
Total Capital,7306,6820,8188,8358
Total Debt/Capital (%),87.28,80.28,62.57,60.46
Total Debt / EV,0.22,0.18,0.15,0.19
EV/Sales,4.33,3.99,3.33,2.57
EV/EBITDA,24.20,15.07,8.32,7.36
EV/EBIT,42.81,19.75,9.42,8.50
EV/Cash Flow to Firm,25.78,15.91,9.99,8.58
EV/Free Cash Flow to Firm,19.12,11.58,9.57,7.82
Diluted Market Cap,22526,25077,30925,23032
Diluted Enterprise Value,28764,30057,34169,26504
EV per Share,38.08,40.19,45.52,35.74
TTM Sales,6554,7532,10201,10184
TTM EBITDA,1173,1993,4088,3560
TTM Operating Income,663,1521,3611,3080
TTM Cash Flow to Firm,1101,1889,3405,3052
TTM Free Cash Flow to Firm,1485,2595,3554,3347
