,2017,2018,2019,2020,2021,2022
Sales/Revenue/Turnover,12323,12915,13118,12756,14298,13685
+ Sales & Services Revenue,12323,12915,13118,12756,14298,13685
- Cost of Revenue,8621,9189,9292,8977,10105,9765
+ Cost of Goods & Services,8621,9189,9292,8977,10105,9765
Gross Profit,3702,3726,3826,3779,4193,3920
+ Other Operating Income,0,0,0,0,0,0
- Operating Expenses,1786,1891,2012,2140,2085,1887
"+ Selling, General & Admin",1648,1735,1810,1924,1948,1763
+ Research & Development,175,181,163,152,159,150
+ Other Operating Expense,-37,-25,39,64,-22,-26
Operating Income (Loss),1916,1835,1814,1639,2108,2033
- Non-Operating (Income) Loss,-41,-58,-47,128,147,145
"+ Interest Expense, Net",-21,-14,-14,-122,-136,-143
+ Interest Expense,40,37,39,-122,-136,-143
- Interest Income,61,51,53,0,0,0
+ Other Non-Op (Income) Loss,-20,-44,-33,250,283,288
Pretax Income,1957,1893,1861,1511,1961,1888
- Income Tax Expense (Benefit),1148,683,594,455,541,519
- (Income) Loss from Affiliates,0,0,0,0,0,0
Income (Loss) from Cont Ops,809,1210,1267,1056,1420,1369
- Net Extraordinary Losses (Gains),346,322,302,300,348,232
+ Discontinued Operations,0,0,0,0,0,0
+ Extraord. & Accounting Changes,346,322,302,300,348,232
Income (Loss) Incl. MI,463,888,965,756,1072,1137
- Minority Interest,-173,-161,-151,-150,-174,-116
"Net Income, GAAP",636,1049,1116,906,1246,1253
- Preferred Dividends,0,0,0,0,0,0
- Other Adjustments,0,0,0,0,0,0
"Net Income Avail to Common, GAAP",636,1049,1116,906,1246,1253
Basic Weighted Avg Shares,433,433,433,433,428,420
"Basic EPS, GAAP",1.47,2.42,2.58,2.09,2.91,2.98
Basic EPS from Cont Ops,1.87,2.79,2.93,2.44,3.32,3.26
Diluted Weighted Avg Shares,436,433,433,435,431,423
"Diluted EPS, GAAP",1.46,2.42,2.58,2.08,2.89,2.96
Diluted EPS from Cont Ops,1.85,2.79,2.93,2.43,3.29,3.24
EBITDA,2093,2025,1994,1830,2311,2224
EBITDA Margin (%),16.98,15.68,15.20,14.35,16.16,16.25
EBITA,1916,1835,1814,1639,2108,2033
EBIT,1916,1835,1814,1639,2108,2033
Gross Margin (%),30.04,28.85,29.17,29.63,29.33,28.64
Operating Margin (%),15.55,14.21,13.83,12.85,14.74,14.86
Profit Margin (%),5.16,8.12,8.51,7.10,8.71,9.16
Sales per Employee,0,0,190116,184870,204257,198333
Dividend per Share,0,0,0,0.60,0.92,1.11
Depreciation Expense,177,190,180,191,203,191
