,2017,2018,2019,2020,2021,2022
+ Net Income,809,1210,1267,1056,1420,1369
+ Depreciation & Amortization,177,190,180,191,203,191
+ Non-Cash Items,458,158,54,170,82,64
+ Stock-Based Compensation,29,38,37,63,65,67
+ Deferred Income Taxes,472,127,-8,-51,-92,-16
+ Asset Impairment Charge,0,0,26,71,0,0
+ Other Non-Cash Adj,-43,-7,-1,87,109,13
+ Chg in Non-Cash Work Cap,6,-8,-32,63,45,-64
+ (Inc) Dec in Accts Receiv,-13,-196,-166,-163,-152,-309
+ (Inc) Dec in Inventories,-109,24,60,-76,14,-65
+ (Inc) Dec in Prepaid Assets,0,0,0,0,0,0
+ Inc (Dec) in Accts Payable,119,166,-28,20,130,272
+ Inc (Dec) in Other,9,-2,102,282,53,38
+ Net Cash From Disc Ops,0,0,0,0,0,0
Cash from Operating Activities,1450,1550,1469,1480,1750,1560
+ Change in Fixed & Intang,0,0,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0,0,0
+ Acq of Fixed & Intang,-133,-172,-145,-183,-156,-115
+ Acq of Fixed Prod Assets,-133,-172,-145,-183,-156,-115
+ Acq of Intangible Assets,0,0,0,0,0,0
+ Net Change in LT Investment,0,3,-5,-51,113,-7
+ Dec in LT Investment,0,3,0,0,113,0
+ Inc in LT Investment,0,0,-5,-51,0,-7
+ Net Cash From Acq & Div,-53,-50,-47,-53,-80,15
+ Cash from Divestitures,0,0,0,0,0,61
+ Cash for Acq of Subs,-53,-50,-47,-53,-80,-46
+ Cash for JVs,0,0,0,0,0,0
+ Other Investing Activities,0,18,-6,-66,34,74
+ Net Cash From Disc Ops,0,0,0,0,0,0
Cash from Investing Activities,-186,-201,-203,-353,-89,-33
+ Dividends Paid,0,0,0,-260,-393,-465
+ Net Cash From Debt,0,0,0,5300,2030,-500
+ Cash From Debt,0,0,0,6300,2030,0
+ Repayments of Debt,0,0,0,-1000,0,-500
+ Cash (Repurchase) of Equity,0,0,0,0,-725,-2652
+ Increase in Capital Stock,0,0,0,0,0,0
+ Decrease in Capital Stock,0,0,0,0,-725,-2652
+ Other Financing Activities,-1404,-1497,-1133,-5884,-854,-35
+ Net Cash From Disc Ops,0,0,0,0,0,0
Cash from Financing Activities,-1404,-1497,-1133,-844,58,-3652
Effect of Foreign Exchange Rates,98,-77,-20,59,-43,-157
Net Changes in Cash,-140,-148,133,283,1719,-2125
EBITDA,2093,2025,1994,1830,2311,2224
EBITDA Margin (%),16.98,15.68,15.20,14.35,16.16,16.25
Net Cash Paid for Acquisitions,53,50,47,53,80,-15
Free Cash Flow,1317,1378,1324,1297,1594,1445
Free Cash Flow to Firm,1334,1402,1351,1212,1496,1341
Free Cash Flow to Equity,0,1378,1324,6597,3624,945
Free Cash Flow per Basic Share,3.04,3.18,3.06,2.99,3.73,3.44
Price/Free Cash Flow,0,0,0,0,0,19.78
Cash Flow to Net Income,2.28,1.48,1.32,1.63,1.40,1.25
