,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Market Capitalization,434844,390777,324625,374398,354550,288836,294178,176093,257689,450245
- Cash & Cash Equivalents,4644,4616,3705,3657,3177,3042,3089,4364,6802,29640
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,6492,6665,5999,6505,6812,6734,7288,6980,7106,7424
+ Total Debt,22699,29121,38687,42762,42336,37796,46920,67640,47704,41193
Enterprise Value,459391,421947,365606,420008,400521,330324,345297,246349,305697,469222
Total Capital,426700,454962,468742,469255,478344,481441,491186,474251,462615,497229
Total Debt/Capital (%),5.32,6.40,8.25,9.11,8.85,7.85,9.55,14.26,10.31,8.28
Total Debt / EV,0.05,0.07,0.11,0.10,0.11,0.11,0.14,0.27,0.16,0.09
EV/Sales,1.05,1.02,1.36,1.86,1.69,1.14,1.30,1.36,1.07,1.18
EV/EBITDA,0,0,9.14,13.87,12.53,6.65,1.22,14.38,5.90,5.36
EV/EBIT,0,0,16.64,52.71,33.17,10.67,1.30,0,9.79,7.38
EV/Cash Flow to Firm,10.23,9.31,11.96,18.62,13.04,9.04,11.39,15.79,6.26,6.06
EV/Free Cash Flow to Firm,5.85,5.39,6.41,10.85,8.69,5.89,6.31,7.49,5.02,4.90
Diluted Market Cap,443433,398312,327750,377016,356057,291119,296680,177810,259877,463812
Diluted Enterprise Value,467980,429482,368731,422626,402028,332607,347799,248066,307885,482789
EV per Share,105.97,100.44,87.97,101.26,94.48,77.96,81.55,58.20,72.12,114.95
TTM Sales,438255,411939,268882,226094,237162,290212,264938,181502,285640,398675
TTM EBITDA,-363362,-343012,40014,30277,31967,49698,283936,17126,51841,87586
TTM Operating Income,-380544,-360309,21966,7969,12074,30953,264938,-28883,31234,63546
TTM Cash Flow to Firm,44919,45302,30578,22558,30705,36544,30327,15600,48844,77388
TTM Free Cash Flow to Firm,78588,78254,57068,38721,46107,56118,54688,32882,60920,95795
