,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total Debt,22699,29121,38687,42762,42336,37796,46920,67640,47704,41193
ST Debt,15808,17468,18762,13830,17930,17258,20578,20458,4276,634
LT Debt,6891,11653,19925,28932,24406,20538,26342,47182,43428,40559
Total Debt/EBITDA,-0.06,-0.08,0.97,1.41,1.32,0.76,0.17,3.95,0.92,0.47
Net Debt/EBITDA,-0.05,-0.07,0.84,1.25,1.18,0.67,0.15,3.60,0.76,0.13
Total Debt/EBIT,-0.06,-0.08,1.76,5.37,3.51,1.22,0.18,-2.34,1.53,0.65
Net Debt/EBIT,-0.05,-0.07,1.54,4.75,3.13,1.08,0.16,-2.13,1.25,0.18
EBITDA to Interest Expense,-40373.56,-1199.34,128.66,66.84,53.19,64.88,342.09,14.79,54.74,109.76
EBITDA-CapEx/Interest Expense,-44114.56,-1314.56,43.49,31.16,27.56,39.33,312.74,-0.13,41.99,86.69
EBIT to Interest Expense,-42282.67,-1259.82,70.63,17.59,20.09,40.41,319.20,-24.94,32.98,79.63
Interest Expense,9,286,311,453,601,766,830,1158,947,798
Common Equity/Total Assets,114.62,119.94,125.92,127.15,123.09,126.20,120.51,120.10,120.32,121.55
Long-Term Debt/Equity (%),3.82,6.44,11.27,16.64,12.55,10.35,13.24,28.75,24.72,20.03
Long-Term Debt/Capital (%),1.61,2.56,4.25,6.17,5.10,4.27,5.36,9.95,9.39,8.16
Long-Term Debt/Total Assets (%),1.99,3.33,5.92,8.76,7.00,5.93,7.26,14.18,12.81,10.99
Total Debt/Equity (%),12.58,16.08,21.88,24.60,21.77,19.04,23.59,41.21,27.15,20.34
Total Debt/Capital (%),5.32,6.40,8.25,9.11,8.85,7.85,9.55,14.26,10.31,8.28
Total Debt/Total Assets (%),6.55,8.33,11.49,12.95,12.14,10.92,12.94,20.33,14.08,11.16
Net Debt to Equity,9.80,13.33,19.08,21.79,19.45,16.85,21.19,37.53,22.28,5.71
Net Debt/Capital (%),4.19,5.36,7.26,8.14,7.96,6.99,8.64,13.11,8.59,2.47
EBITDA,-363362,-343012,40014,30277,31967,49698,283936,17126,51841,87586
EBITDA-CapEx,-397031,-375964,13524,14114,16565,30124,259575,-156,39765,69179
Operating Income (Loss),-380544,-360309,21966,7969,12074,30953,264938,-28883,31234,63546
