,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Market Capitalization,30614,25171,20798,27581,27520,32475,23232,31406,22681,8636
- Cash & Cash Equivalents,972,946,1228,566,681,543,1369,816,1276,815
+ Preferred Equity and Hybrid Capital,0,0,0,0,0,0,0,0,0,0
+ Minority/Non Controlling Interest,0,0,0,0,0,0,0,0,0,0
+ Total Debt,1449,1865,2319,2923,3744,2786,4859,6958,6445,7819
Enterprise Value,31092,26090,21889,29938,30583,34718,26721,36949,27849,15640
Total Capital,4789,5100,4968,4046,4689,4065,4963,7245,6985,7973
Total Debt/Capital (%),30.26,36.56,46.68,72.25,79.85,68.54,97.89,96.03,92.26,98.07
Total Debt / EV,0.05,0.07,0.11,0.10,0.12,0.08,0.18,0.19,0.23,0.50
EV/Sales,2.53,2.11,1.82,2.53,10.04,2.51,2.55,4.00,2.35,1.35
EV/EBITDA,14.74,12.56,12.29,16.69,80.15,17.56,17.60,41.19,14.66,11.80
EV/EBIT,16.95,14.46,14.60,19.92,98.64,20.72,21.36,58.84,17.06,14.72
EV/Cash Flow to Firm,17.67,21.55,14.13,19.72,0,20.01,28.52,26.04,28.61,0
EV/Free Cash Flow to Firm,14.60,16.39,12.07,16.75,0,16.85,20.30,20.89,20.12,87.61
Diluted Market Cap,31130,25493,21203,28120,28006,32775,23896,31421,22921,8630
Diluted Enterprise Value,31607,26413,22294,30477,31069,35018,27386,37563,28089,15633
EV per Share,71.83,61.16,52.87,75.64,77.56,87.49,68.73,94.27,71.72,40.24
TTM Sales,12282,12377,12019,11811,3045,13849,10489,9239,11842,11612
TTM EBITDA,2109,2077,1781,1794,382,1977,1519,897,1899,1325
TTM Operating Income,1834,1805,1499,1503,310,1676,1251,628,1632,1063
TTM Cash Flow to Firm,1759,1211,1549,1518,-222,1735,937,1419,973,-178
TTM Free Cash Flow to Firm,2129,1592,1813,1787,-202,2060,1316,1768,1384,179
