,2019,2020,2021,2022
Sales/Revenue/Turnover,1765,1823,1997,2238
+ Sales & Services Revenue,1765,1823,1997,2238
- Cost of Revenue,732,739,778,874
+ Cost of Goods & Services,732,739,778,874
Gross Profit,1033,1084,1219,1364
+ Other Operating Income,0,0,0,0
- Operating Expenses,608,616,668,712
"+ Selling, General & Admin",74,63,76,74
+ Research & Development,0,0,0,0
+ Other Operating Expense,534,553,592,638
Operating Income (Loss),425,468,551,652
- Non-Operating (Income) Loss,278,270,288,267
"+ Interest Expense, Net",367,354,323,304
+ Interest Expense,367,354,323,304
- Interest Income,0,0,0,0
+ Other Non-Op (Income) Loss,-89,-84,-35,-37
Pretax Income,147,197,263,385
- Income Tax Expense (Benefit),0,0,0,0
- (Income) Loss from Affiliates,0,0,0,0
Income (Loss) from Cont Ops,147,197,263,385
- Net Extraordinary Losses (Gains),3,2,3,3
+ Discontinued Operations,0,0,0,0
+ Extraord. & Accounting Changes,3,2,3,3
Income (Loss) Incl. MI,144,195,260,382
- Minority Interest,-2,-1,-1,-1
"Net Income, GAAP",145,196,261,383
- Preferred Dividends,0,0,0,0
- Other Adjustments,0,0,0,0
"Net Income Avail to Common, GAAP",145,196,261,383
Basic Weighted Avg Shares,531,554,578,610
"Basic EPS, GAAP",0.27,0.35,0.45,0.63
Basic EPS from Cont Ops,0.28,0.36,0.45,0.63
Diluted Weighted Avg Shares,532,555,579,611
"Diluted EPS, GAAP",0.27,0.35,0.45,0.63
Diluted EPS from Cont Ops,0.28,0.36,0.45,0.63
EBITDA,959,1020,1143,1290
EBITDA Margin (%),54.33,55.98,57.25,57.63
EBITA,425,468,551,652
EBIT,425,468,551,652
Gross Margin (%),58.54,59.45,61.05,60.94
Operating Margin (%),24.09,25.67,27.59,29.12
Profit Margin (%),8.24,10.76,13.09,17.13
Sales per Employee,1547969,1586447,1610173,1481218
Dividend per Share,0.52,0.60,0.68,0.88
Depreciation Expense,534,553,592,638
