,2019,2020,2021,2022
+ Net Income,147,197,263,385
+ Depreciation & Amortization,534,553,592,638
+ Non-Cash Items,-11,-7,28,11
+ Stock-Based Compensation,18,17,27,29
+ Deferred Income Taxes,0,0,0,0
+ Asset Impairment Charge,14,5,1,0
+ Other Non-Cash Adj,-44,-29,0,-18
+ Chg in Non-Cash Work Cap,-7,-46,25,-10
+ (Inc) Dec in Accts Receiv,0,0,0,0
+ (Inc) Dec in Inventories,0,0,0,0
+ (Inc) Dec in Prepaid Assets,-1,10,7,0
+ Inc (Dec) in Accts Payable,5,-27,33,-6
+ Inc (Dec) in Other,-11,-29,-15,-4
+ Net Cash From Disc Ops,0,0,0,0
Cash from Operating Activities,662,697,908,1024
+ Change in Fixed & Intang,0,0,0,0
+ Disp in Fixed & Intang,0,0,0,0
+ Disp of Fixed Prod Assets,0,0,0,0
+ Disp of Intangible Assets,0,0,0,0
+ Acq of Fixed & Intang,-164,-172,-163,-208
+ Acq of Fixed Prod Assets,-164,-172,-163,-208
+ Acq of Intangible Assets,0,0,0,0
+ Net Change in LT Investment,50,72,120,76
+ Dec in LT Investment,50,72,120,76
+ Inc in LT Investment,0,0,0,0
+ Net Cash From Acq & Div,0,-16,-65,-168
+ Cash from Divestitures,0,0,0,0
+ Cash for Acq of Subs,0,-16,-65,-168
+ Cash for JVs,0,0,0,0
+ Other Investing Activities,217,-309,-1052,-515
+ Net Cash From Disc Ops,0,0,0,0
Cash from Investing Activities,102,-425,-1160,-814
+ Dividends Paid,-277,-332,-394,-539
+ Net Cash From Debt,-594,-435,171,-89
+ Cash From Debt,888,2820,2338,1453
+ Repayments of Debt,-1482,-3255,-2167,-1542
+ Cash (Repurchase) of Equity,55,687,934,98
+ Increase in Capital Stock,55,687,934,98
+ Decrease in Capital Stock,0,0,0,0
+ Other Financing Activities,-23,-66,-52,-45
+ Net Cash From Disc Ops,0,0,0,0
Cash from Financing Activities,-838,-146,659,-574
Effect of Foreign Exchange Rates,0,0,0,0
Net Changes in Cash,-74,126,407,-365
EBITDA,959,1020,1143,1290
EBITDA Margin (%),54.33,55.98,57.25,57.63
Net Cash Paid for Acquisitions,0,16,65,168
Free Cash Flow,498,524,745,816
Free Cash Flow to Firm,865,878,1067,1120
Free Cash Flow to Equity,0,90,916,727
Free Cash Flow per Basic Share,0.94,0.95,1.29,1.34
Price/Free Cash Flow,19.31,18.98,24.53,14.71
Cash Flow to Net Income,4.55,3.55,3.47,2.67
